episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,142,-2.6468,-2.6468,142,0,0,1,0,3.5437,2.005,collision,2.1,-0.058907,0.447694,-0.867121,0.82989,4.658359,1.254487,0.46964,5.972351,0.406514,0.389894,-0.265169,1.0,,,,,,,,,,,,,,0,lstm
2,274,-6.218,-4.4324,132,0,0,1,0,3.5761,2.078,collision,3.9,-0.192332,0.395777,-0.851646,0.646853,5.03649,1.054646,0.742534,5.951817,0.412729,0.388812,-0.268851,1.0,,,,,,,,,,,,,,0,lstm
3,421,-5.0276,-4.6308,147,0,0,1,0,3.6465,2.081,collision,5.8,-0.008276,0.408929,-0.842079,0.784759,4.821004,1.112592,0.521924,5.986968,0.401829,0.389494,-0.423158,1.002725,,,,,,,,,,,,,,0,lstm
4,699,22.0153,2.0307,278,0,0,1,0,3.3741,2.049,collision,10.3,0.051887,0.432485,-0.792948,0.848419,4.615223,1.24071,0.373032,5.995219,0.388304,0.391464,-0.64581,1.0,-0.034997,0.031137,1.908619,0.006742,0.139941,0.214237,0.116255,0.176984,3.7e-05,,,,,0,lstm
5,838,-4.474,0.7298,139,0,0,1,0,3.6465,2.066,collision,12.0,-0.224985,0.366737,-0.829155,0.670855,4.687368,1.153117,0.700642,5.98254,0.414911,0.391847,-0.324243,1.0,,,,,,,,,,,,,,0,lstm
6,977,-3.3789,0.045,139,0,0,1,0,3.5701,2.115,collision,13.9,0.000935,0.392247,-0.878335,0.798273,4.530735,1.230759,0.670897,5.973224,0.405716,0.388526,-0.226218,1.0,,,,,,,,,,,,,,0,lstm
7,1108,-7.0312,-0.9659,131,0,0,1,0,3.6643,2.078,collision,15.5,-0.218084,0.383134,-0.8873,0.804966,4.96507,1.024868,0.78032,5.989229,0.417282,0.394711,-0.332384,1.0,,,,,,,,,,,,,,0,lstm
8,1234,-9.7866,-2.0685,126,0,0,1,0,3.6892,1.992,collision,17.5,-0.307768,0.381982,-0.855549,0.624861,4.980382,1.015054,1.687927,5.962693,0.412876,0.395828,-0.458791,1.0,-0.064633,0.0319,1.908889,0.006726,0.152787,0.292781,0.157227,0.23959,4.9e-05,,,,,0,lstm
9,1370,-4.96,-2.3898,136,0,0,1,0,3.543,2.056,collision,19.2,-0.193316,0.393853,-0.823036,0.65817,4.800297,1.127918,0.728176,5.967541,0.415326,0.392099,-0.388502,1.0,,,,,,,,,,,,,,0,lstm
10,1536,2.2755,-1.9232,166,0,0,1,0,3.6494,2.022,collision,21.4,-0.087806,0.437062,-0.860239,0.839371,4.700734,1.281796,0.550906,5.982201,0.399284,0.389049,-0.411612,1.009271,,,,,,,,,,,,,,0,lstm
11,1670,-5.0094,-2.1595,134,0,0,1,0,3.559,2.141,collision,23.2,-0.060351,0.398177,-0.828365,0.768829,4.781451,1.081761,1.633334,5.985533,0.41607,0.392633,-0.270588,1.0,,,,,,,,,,,,,,0,lstm
12,1828,1.2437,-1.4133,158,0,0,1,0,3.6481,2.053,collision,25.7,-0.074002,0.441094,-0.86698,0.827761,4.644382,1.187715,1.151976,5.987162,0.404593,0.389497,-0.344128,1.00994,-0.057022,0.02421,1.909035,0.00671,0.119171,0.183719,0.090884,0.149041,6.1e-05,,,,,0,lstm
13,1968,-6.8318,-1.5938,140,0,0,1,0,3.5419,1.999,collision,27.5,0.110431,0.427781,-0.872795,0.842942,4.278296,1.279671,0.731834,5.954883,0.382454,0.383163,-0.519761,1.0,,,,,,,,,,,,,,0,lstm
