episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,2270,-500.1401,-500.1401,2270,0,0,0,0,3.8257,1.283,low_score,34.4,-0.858154,0.079364,-0.899774,0.390046,5.706648,0.499516,0.902874,5.999507,0.333122,0.441188,-1.0,1.028744,,,,,,,,,,,,,,0,lstm
2,4543,-500.4511,-500.2956,2273,0,0,0,0,3.863,1.284,low_score,69.0,-0.857657,0.076706,-0.899686,0.315851,5.703136,0.49952,1.742063,5.999405,0.331926,0.441354,-1.0,1.039926,,,,,,,,,,,,,,0,lstm
3,6766,-500.1967,-500.2626,2223,0,0,0,0,3.891,1.291,low_score,102.6,-0.85388,0.083085,-0.899821,0.181949,5.719004,0.46427,1.434899,5.999399,0.330373,0.442599,-1.0,1.048283,,,,,,,,,,,,,,0,lstm
4,9057,-500.002,-500.1975,2291,0,0,0,0,3.8479,1.286,low_score,147.4,-0.857176,0.082969,-0.899909,0.034451,5.718509,0.431155,1.463333,5.999091,0.331423,0.440525,-1.0,1.0353,-0.007819,0.008382,1.900071,0.006742,0.035534,0.311361,0.020403,0.25568,3.7e-05,,,,,0,lstm
5,11294,-500.1757,-500.1931,2237,0,0,0,0,3.7942,1.288,low_score,181.6,-0.855262,0.091935,-0.899839,0.24018,5.728782,0.442536,1.325058,5.999154,0.336098,0.442179,-1.0,1.02249,,,,,,,,,,,,,,0,lstm
6,13535,-500.4649,-500.2384,2241,0,0,0,0,3.7752,1.289,low_score,216.4,-0.853594,0.096876,-0.899708,0.537492,5.707271,0.50229,0.49949,5.999559,0.333488,0.44198,-1.0,1.018741,,,,,,,,,,,,,,0,lstm
7,15847,-500.3871,-500.2597,2312,0,0,0,0,3.8423,1.286,low_score,251.8,-0.856698,0.081659,-0.899816,0.054123,5.730512,0.443914,2.118794,5.999489,0.330753,0.439954,-1.0,1.032905,,,,,,,,,,,,,,0,lstm
8,18130,-500.2732,-500.2614,2283,0,0,0,0,3.8595,1.286,low_score,295.7,-0.856251,0.080167,-0.899727,0.306002,5.73306,0.432206,0.513855,5.998801,0.331684,0.440941,-1.0,1.037424,-0.009955,0.00835,1.900487,0.006726,0.031336,0.2736,0.020086,0.186042,4.9e-05,,,,,0,lstm
9,20388,-500.0371,-500.2364,2258,0,0,0,0,3.8843,1.293,low_score,329.9,-0.85246,0.088506,-0.899834,0.223761,5.725133,0.461542,1.747981,5.999435,0.328844,0.441491,-1.0,1.045453,,,,,,,,,,,,,,0,lstm
10,22587,-500.133,-500.2261,2199,0,0,0,0,3.8789,1.296,low_score,363.7,-0.850217,0.094343,-0.89974,0.450019,5.730389,0.46725,1.215123,5.999695,0.329613,0.442663,-1.0,1.044049,,,,,,,,,,,,,,0,lstm
11,24840,-500.203,-500.2324,2253,0,0,0,0,3.8258,1.291,low_score,398.6,-0.853558,0.093527,-0.899922,0.105742,5.748554,0.424745,0.575191,5.999234,0.333387,0.441374,-1.0,1.028801,,,,,,,,,,,,,,0,lstm
12,27150,-500.1505,-500.2023,2310,0,0,0,0,3.7277,1.285,low_score,440.6,-0.85677,0.08906,-0.899887,0.545242,5.725693,0.448914,0.593658,5.999547,0.334443,0.441089,-1.0,1.006425,-0.00106,0.009007,1.901116,0.00671,0.032999,0.337253,0.029217,0.219108,6.1e-05,,,,,0,lstm
13,29383,-500.1439,-500.1971,2233,0,0,0,0,3.8153,1.287,low_score,475.0,-0.856455,0.078635,-0.899711,-0.150296,5.73679,0.438604,0.638284,5.999049,0.336104,0.442374,-1.0,1.026808,,,,,,,,,,,,,,0,lstm
14,31607,-500.6043,-500.2573,2224,0,0,0,0,3.7852,1.286,low_score,509.3,-0.85669,0.07962,-0.899882,0.014219,5.732623,0.446908,1.789971,5.999065,0.33404,0.441965,-1.0,1.020517,,,,,,,,,,,,,,0,lstm
15,33765,-500.1819,-500.2579,2158,0,0,0,0,3.9184,1.298,low_score,542.2,-0.849764,0.091307,-0.899835,-0.02648,5.718402,0.468619,0.491294,5.999297,0.326336,0.44341,-1.0,1.054504,,,,,,,,,,,,,,0,lstm
16,35981,-500.393,-500.2507,2216,0,0,0,0,3.8537,1.292,low_score,583.4,-0.852924,0.085487,-0.899704,0.249559,5.726758,0.47616,1.186788,5.999357,0.333791,0.442592,-1.0,1.038669,0.006658,0.008718,1.900881,0.006693,0.031059,0.285052,0.025979,0.210622,7.3e-05,,,,,0,lstm
17,38115,-500.0055,-500.2125,2134,0,0,0,0,3.9848,1.307,low_score,615.2,-0.843738,0.09623,-0.899883,0.436338,5.711948,0.473267,1.010033,5.998512,0.316143,0.445094,-1.0,1.076617,,,,,,,,,,,,,,0,lstm
18,40396,-500.3057,-500.2158,2281,0,0,0,0,3.8168,1.29,low_score,649.3,-0.854454,0.087102,-0.899781,-0.04042,5.724729,0.47158,0.628047,5.999829,0.330664,0.440727,-1.0,1.027584,,,,,,,,,,,,,,0,lstm
19,42106,-500.2551,-500.2376,1710,0,0,0,0,4.0137,1.313,low_score,675.0,-0.840195,0.1005,-0.899744,0.275954,5.641498,0.560089,1.604042,5.999413,0.291007,0.444257,-1.0,1.085773,,,,,,,,,,,,,,0,lstm
