global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
4615,4,-0.012134,0.006896,1.675526,0.004994,0.068764,0.067488,0.054491,0.0,3.7e-05,,,,,none
4615,4,-0.014397,0.006956,1.675452,0.004994,0.066678,0.090658,0.045833,0.0,3.7e-05,,,,,none
4615,4,0.058559,0.007261,1.675386,0.004994,0.074732,0.132412,0.029648,0.0,3.7e-05,,,,,none
4615,4,0.006129,0.007301,1.675346,0.004994,0.069786,0.149737,0.029497,0.0,3.7e-05,,,,,none
4615,4,-0.001445,0.005727,1.675309,0.004994,0.068524,0.085412,0.026747,0.0,3.7e-05,,,,,none
4615,4,-0.049255,0.005656,1.675263,0.004994,0.072441,0.159812,0.027672,0.0,3.7e-05,,,,,none
4615,4,-0.032248,0.006101,1.67521,0.004994,0.071408,0.162359,0.021158,0.0,3.7e-05,,,,,none
4615,4,-0.031474,0.006871,1.675165,0.004994,0.075308,0.15144,0.019488,0.0,3.7e-05,,,,,none
4615,4,0.199841,0.00426,1.675118,0.004994,0.063427,0.109342,0.017988,0.0,3.7e-05,,,,,none
4615,4,0.026968,0.006271,1.675063,0.004994,0.071426,0.139627,0.010894,0.0,3.7e-05,,,,,none
4615,4,-0.001675,0.0062,1.675012,0.004994,0.0743,0.100467,0.012533,0.0,3.7e-05,,,,,none
4615,4,-0.117734,0.005099,1.674958,0.004994,0.074857,0.096782,0.022703,0.0,3.7e-05,,,,,none
6106,8,-0.017436,0.009123,1.674922,0.004982,0.07332,0.092248,0.048008,0.0,4.9e-05,,,,,none
6106,8,-0.017396,0.009021,1.674898,0.004982,0.073232,0.092689,0.045294,0.0,4.9e-05,,,,,none
6106,8,-0.01733,0.008889,1.674894,0.004982,0.073234,0.093115,0.041324,0.0,4.9e-05,,,,,none
6106,8,-0.017242,0.008743,1.674906,0.004982,0.073462,0.093541,0.036431,0.0,4.9e-05,,,,,none
8366,12,-0.023233,0.007159,1.67493,0.00497,0.060627,0.146419,0.025863,0.0,6.1e-05,,,,,none
8366,12,0.137368,0.005493,1.67495,0.00497,0.045169,0.14629,0.017663,0.0,6.1e-05,,,,,none
8366,12,-0.02954,0.007543,1.674968,0.00497,0.065392,0.15035,0.013945,0.0,6.1e-05,,,,,none
8366,12,0.190889,0.001299,1.674977,0.00497,0.038747,0.093442,0.022565,0.0,6.1e-05,,,,,none
8366,12,-0.049611,0.007433,1.674986,0.00497,0.067798,0.096837,0.008523,0.0,6.1e-05,,,,,none
8366,12,0.363778,0.001987,1.675001,0.00497,0.048139,0.383051,0.057369,0.0,6.1e-05,,,,,none
8366,12,0.029671,0.006647,1.674984,0.00497,0.066198,0.1329,0.009129,0.0,6.1e-05,,,,,none
8366,12,-0.29695,0.008182,1.674968,0.00497,0.075098,0.206264,0.045463,0.0,6.1e-05,,,,,none
10309,16,-0.004939,0.006782,1.674974,0.004958,0.062176,0.08039,0.014292,0.0,7.3e-05,,,,,none
10309,16,-0.004861,0.006764,1.674991,0.004958,0.062468,0.080728,0.013252,0.0,7.3e-05,,,,,none
10309,16,-0.004718,0.006749,1.675016,0.004958,0.062659,0.081251,0.01255,0.0,7.3e-05,,,,,none
10309,16,-0.004522,0.006737,1.675046,0.004958,0.062744,0.081967,0.012154,0.0,7.3e-05,,,,,none
11826,20,-0.017484,0.007983,1.675081,0.004946,0.072176,0.194837,0.027154,0.0,8.5e-05,,,,,none
11826,20,-0.017144,0.007932,1.675127,0.004946,0.072248,0.199426,0.025589,0.0,8.5e-05,,,,,none
11826,20,-0.016585,0.007875,1.675175,0.004946,0.072415,0.151552,0.02338,0.0,8.5e-05,,,,,none
11826,20,-0.016746,0.007814,1.675222,0.004946,0.072689,0.187172,0.020544,0.0,8.5e-05,,,,,none
13350,24,-0.018918,0.008558,1.675264,0.004934,0.077393,0.2659,0.025781,0.0,9.7e-05,,,,,none
13350,24,-0.0174,0.008457,1.675318,0.004934,0.078211,0.242727,0.020326,0.0,9.7e-05,,,,,none
13350,24,-0.017512,0.008371,1.675374,0.004934,0.079097,0.386905,0.014817,0.0,9.7e-05,,,,,none
13350,24,-0.018817,0.008306,1.675436,0.004934,0.080467,0.675091,0.009014,0.0,9.7e-05,,,,,none
14877,28,-0.018171,0.008283,1.675502,0.004922,0.07862,0.12906,0.021517,0.0,0.0001,,,,,none
14877,28,-0.018099,0.008195,1.675558,0.004922,0.080429,0.130922,0.014293,0.0,0.0001,,,,,none
14877,28,-0.017823,0.008132,1.675605,0.004922,0.082471,0.133278,0.007328,0.0,0.0001,,,,,none
14877,28,-0.017363,0.0081,1.675643,0.004922,0.084596,0.105364,0.004211,0.0,0.0001,,,,,none
17103,32,0.039491,0.005894,1.675677,0.00491,0.066586,0.108262,0.022986,0.0,0.0001,,,,,none
17103,32,-0.459773,0.014057,1.675715,0.00491,0.097023,0.375035,0.041523,0.0,0.0001,,,,,none
17103,32,-0.023726,0.007235,1.675732,0.00491,0.078068,0.101777,0.026745,0.0,0.0001,,,,,none
17103,32,0.130032,0.00438,1.675747,0.00491,0.051978,0.404505,0.053504,0.0,0.0001,,,,,none
17103,32,0.022883,0.006851,1.67576,0.00491,0.077604,0.347317,0.040906,0.0,0.0001,,,,,none
17103,32,-0.303062,0.009443,1.675762,0.00491,0.09002,0.375386,0.013395,0.0,0.0001,,,,,none
17103,32,-0.050586,0.00752,1.675806,0.00491,0.080103,0.072866,0.030225,0.0,0.0001,,,,,none
17103,32,0.365071,0.002843,1.675845,0.00491,0.061863,0.100168,0.084825,0.0,0.0001,,,,,none
18622,36,-0.015121,0.008379,1.675892,0.004898,0.080801,0.100028,0.004202,0.0,0.0001,,,,,none
18622,36,-0.015176,0.008382,1.675931,0.004898,0.079899,0.099806,0.006519,0.0,0.0001,,,,,none
18622,36,-0.015157,0.008387,1.675962,0.004898,0.079267,0.099643,0.008636,0.0,0.0001,,,,,none
18622,36,-0.015095,0.008389,1.675987,0.004898,0.078873,0.104502,0.01007,0.0,0.0001,,,,,none
20871,40,0.025372,0.005797,1.676004,0.004886,0.066514,0.096558,0.018785,0.0,0.0001,,,,,none
20871,40,-0.300664,0.007905,1.676027,0.004886,0.073308,0.255,0.028903,0.0,0.0001,,,,,none
20871,40,-0.012563,0.005824,1.676054,0.004886,0.065007,0.077218,0.010299,0.0,0.0001,,,,,none
20871,40,0.052923,0.007034,1.676087,0.004886,0.071241,0.35101,0.026947,0.0,0.0001,,,,,none
20871,40,-0.037669,0.005906,1.676123,0.004886,0.061617,0.094968,0.005634,0.0,0.0001,,,,,none
20871,40,0.279399,0.00562,1.676167,0.004886,0.077874,0.334843,0.040886,0.0,0.0001,,,,,none
20871,40,-0.02833,0.006434,1.676171,0.004886,0.064518,0.096487,0.009023,0.0,0.0001,,,,,none
20871,40,0.202576,0.000482,1.676177,0.004886,0.023228,0.224834,0.021079,0.0,0.0001,,,,,none
22409,44,-0.013526,0.008389,1.676187,0.004874,0.075496,0.099916,0.016955,0.0,0.0001,,,,,none
22409,44,-0.013279,0.008421,1.676188,0.004874,0.074338,0.099595,0.021244,0.0,0.0001,,,,,none
22409,44,-0.012918,0.008447,1.67618,0.004874,0.073602,0.098957,0.02443,0.0,0.0001,,,,,none
22409,44,-0.012505,0.008462,1.676165,0.004874,0.073227,0.065488,0.026426,0.0,0.0001,,,,,none
24654,48,-0.026472,0.005624,1.676149,0.004862,0.062595,0.13618,0.007953,0.0,0.0001,,,,,none
24654,48,0.152397,0.000998,1.676146,0.004862,0.032625,0.229013,0.030298,0.0,0.0001,,,,,none
24654,48,-0.007038,0.004464,1.676146,0.004862,0.057338,0.065678,0.007036,0.0,0.0001,,,,,none
24654,48,-0.017343,0.011744,1.676158,0.004862,0.067207,0.277519,0.013781,0.0,0.0001,,,,,none
24654,48,-0.008406,0.00494,1.676163,0.004862,0.057076,0.367501,0.005423,0.0,0.0001,,,,,none
24654,48,-0.009601,0.005962,1.67618,0.004862,0.057293,0.270382,0.020118,0.0,0.0001,,,,,none
24654,48,0.010976,0.004781,1.676213,0.004862,0.054041,0.074541,0.004094,0.0,0.0001,,,,,none
24654,48,-0.186828,0.007697,1.676255,0.004862,0.079538,0.426649,0.033055,0.0,0.0001,,,,,none
26914,52,-0.012514,0.005435,1.676311,0.00485,0.058602,0.098199,0.006741,0.0,0.0001,,,,,none
26914,52,0.040203,0.010843,1.676354,0.00485,0.081358,0.122069,0.014788,0.0,0.0001,,,,,none
26914,52,-0.008548,0.006195,1.676415,0.00485,0.06242,0.110789,0.007098,0.0,0.0001,,,,,none
26914,52,0.000621,0.003423,1.676468,0.00485,0.041192,0.172006,0.010485,0.0,0.0001,,,,,none
26914,52,-0.017907,0.005892,1.676498,0.00485,0.060046,0.123637,0.011644,0.0,0.0001,,,,,none
26914,52,0.092251,0.005855,1.676518,0.00485,0.051975,0.187374,0.012358,0.0,0.0001,,,,,none
26914,52,0.007445,0.005607,1.676556,0.00485,0.057394,0.096913,0.010461,0.0,0.0001,,,,,none
26914,52,-0.144107,0.008303,1.676588,0.00485,0.07027,0.205773,0.033922,0.0,0.0001,,,,,none
28430,56,-0.021335,0.007615,1.676595,0.004838,0.073802,0.274648,0.013927,0.0,0.0001,,,,,none
28430,56,-0.020787,0.007605,1.676604,0.004838,0.074101,0.278836,0.012226,0.0,0.0001,,,,,none
28430,56,-0.019411,0.007594,1.676614,0.004838,0.074491,0.157501,0.009933,0.0,0.0001,,,,,none
28430,56,-0.019654,0.007586,1.676615,0.004838,0.075012,0.411879,0.007356,0.0,0.0001,,,,,none
29939,60,-0.018845,0.007564,1.676609,0.004826,0.071999,0.256838,0.016967,0.0,0.0001,,,,,none
29939,60,-0.018485,0.007522,1.676587,0.004826,0.073017,0.254705,0.01209,0.0,0.0001,,,,,none
29939,60,-0.017693,0.007495,1.676549,0.004826,0.07443,0.251,0.007152,0.0,0.0001,,,,,none
29939,60,-0.016682,0.007487,1.676497,0.004826,0.07614,0.107809,0.005924,0.0,0.0001,,,,,none
32184,64,0.0182,0.005046,1.67644,0.004814,0.060618,0.115917,0.011597,0.0,0.0001,,,,,none
32184,64,-0.259969,0.006305,1.676382,0.004814,0.061906,0.434065,0.025878,0.0,0.0001,,,,,none
32184,64,-0.02605,0.005689,1.676298,0.004814,0.067612,0.24675,0.016794,0.0,0.0001,,,,,none
32184,64,0.172649,0.001612,1.676212,0.004814,0.046192,0.630561,0.043437,0.0,0.0001,,,,,none
32184,64,-0.037307,0.005362,1.676132,0.004814,0.068676,0.500464,0.021618,0.0,0.0001,,,,,none
32184,64,0.287126,0.005976,1.676053,0.004814,0.066614,0.565143,0.060384,0.0,0.0001,,,,,none
32184,64,-0.00688,0.005487,1.675974,0.004814,0.067363,0.244269,0.021437,0.0,0.0001,,,,,none
32184,64,-0.008078,0.00406,1.675898,0.004814,0.057948,0.380786,0.017023,0.0,0.0001,,,,,none
33359,68,-0.004478,0.008068,1.67583,0.004802,0.070921,0.323964,0.038982,0.0,0.0001,,,,,none
33359,68,-0.003428,0.008056,1.675798,0.004802,0.070063,0.322511,0.041067,0.0,0.0001,,,,,none
33359,68,-0.002181,0.008015,1.675794,0.004802,0.06939,0.154749,0.042215,0.0,0.0001,,,,,none
33359,68,-0.002784,0.007945,1.675823,0.004802,0.068801,0.446355,0.042404,0.0,0.0001,,,,,none
34893,72,-0.016143,0.007546,1.675882,0.00479,0.077032,0.220387,0.013865,0.0,0.0001,,,,,none
34893,72,-0.015541,0.007555,1.675953,0.00479,0.077208,0.219173,0.014035,0.0,0.0001,,,,,none
34893,72,-0.014825,0.007561,1.676032,0.00479,0.077451,0.124102,0.013787,0.0,0.0001,,,,,none
34893,72,-0.015269,0.007565,1.676122,0.00479,0.077761,0.325285,0.013087,0.0,0.0001,,,,,none
38000,76,-0.106096,0.007686,1.676222,0.004778,0.086149,0.125524,0.046864,0.0,0.0001,,,,,none
38000,76,0.169875,0.006024,1.67629,0.004778,0.082156,0.161578,0.008565,0.0,0.0001,,,,,none
38000,76,-0.042555,0.007695,1.676344,0.004778,0.090084,0.131315,0.030454,0.0,0.0001,,,,,none
38000,76,0.049683,0.005558,1.676373,0.004778,0.075416,0.302004,0.014204,0.0,0.0001,,,,,none
38000,76,-0.081445,0.00734,1.676388,0.004778,0.0887,0.158526,0.02463,0.0,0.0001,,,,,none
38000,76,0.12272,0.005748,1.676386,0.004778,0.081366,0.109104,0.013555,0.0,0.0001,,,,,none
38000,76,-0.041626,0.007291,1.676363,0.004778,0.091284,0.240991,0.007466,0.0,0.0001,,,,,none
38000,76,0.051127,0.005486,1.676329,0.004778,0.079139,0.134994,0.013773,0.0,0.0001,,,,,none
40214,80,-0.000827,0.00588,1.676279,0.004766,0.064811,0.155743,0.016629,0.0,0.0001,,,,,none
40214,80,-0.067284,0.002101,1.676229,0.004766,0.041943,0.189982,0.012233,0.0,0.0001,,,,,none
40214,80,-0.027078,0.006046,1.676213,0.004766,0.066133,0.132112,0.015379,0.0,0.0001,,,,,none
40214,80,0.207787,0.001266,1.676198,0.004766,0.040247,0.208973,0.044629,0.0,0.0001,,,,,none
40214,80,0.019305,0.004669,1.676171,0.004766,0.060243,0.106442,0.020354,0.0,0.0001,,,,,none
40214,80,-0.316106,0.017704,1.676144,0.004766,0.106921,0.837254,0.030859,0.0,0.0001,,,,,none
40214,80,-0.01444,0.005772,1.6761,0.004766,0.063478,0.252911,0.015621,0.0,0.0001,,,,,none
40214,80,0.078608,0.004846,1.676054,0.004766,0.067022,0.609921,0.030536,0.0,0.0001,,,,,none
41725,84,-0.017022,0.006368,1.676003,0.004754,0.067938,0.162518,0.011656,0.0,0.0001,,,,,none
41725,84,-0.016484,0.006373,1.675961,0.004754,0.067538,0.158042,0.012643,0.0,0.0001,,,,,none
41725,84,-0.016294,0.006378,1.675925,0.004754,0.067304,0.202948,0.013098,0.0,0.0001,,,,,none
41725,84,-0.016933,0.006378,1.675907,0.004754,0.067192,0.457071,0.013091,0.0,0.0001,,,,,none
45536,88,-0.006219,0.005687,1.675908,0.004742,0.073633,0.130589,0.011228,0.0,0.0001,,,,,none
45536,88,-0.006997,0.006552,1.675904,0.004742,0.080449,0.148388,0.011034,0.0,0.0001,,,,,none
45536,88,0.033736,0.006463,1.675915,0.004742,0.076898,0.121704,0.009451,0.0,0.0001,,,,,none
45536,88,-0.051845,0.005572,1.675935,0.004742,0.075507,0.127102,0.018105,0.0,0.0001,,,,,none
45536,88,0.067803,0.005916,1.67595,0.004742,0.074115,0.14171,0.00554,0.0,0.0001,,,,,none
45536,88,-0.089715,0.006031,1.675975,0.004742,0.076454,0.088472,0.024354,0.0,0.0001,,,,,none
45536,88,-0.073116,0.005876,1.675992,0.004742,0.073677,0.126104,0.024646,0.0,0.0001,,,,,none
45536,88,0.071992,0.005922,1.67602,0.004742,0.074958,0.064847,0.009401,0.0,0.0001,,,,,none
47045,92,-0.022736,0.006272,1.676038,0.00473,0.068865,0.163947,0.006492,0.0,0.0001,,,,,none
47045,92,-0.022412,0.006267,1.67607,0.00473,0.068781,0.164083,0.006355,0.0,0.0001,,,,,none
47045,92,-0.02197,0.006259,1.676114,0.00473,0.068598,0.1638,0.005911,0.0,0.0001,,,,,none
47045,92,-0.021481,0.006247,1.676168,0.00473,0.068321,0.118037,0.005271,0.0,0.0001,,,,,none
50826,96,0.078317,0.004748,1.676225,0.004718,0.067447,0.078713,0.004675,0.0,0.0001,,,,,none
50826,96,-0.107541,0.006683,1.676268,0.004718,0.079819,0.120769,0.027665,0.0,0.0001,,,,,none
50826,96,0.036041,0.005419,1.676298,0.004718,0.069179,0.110247,0.0118,0.0,0.0001,,,,,none
50826,96,-0.055966,0.005876,1.67631,0.004718,0.076152,0.119029,0.024256,0.0,0.0001,,,,,none
50826,96,-0.032907,0.005014,1.676315,0.004718,0.069956,0.124283,0.022192,0.0,0.0001,,,,,none
50826,96,0.024142,0.006356,1.676308,0.004718,0.075538,0.373957,0.013036,0.0,0.0001,,,,,none
50826,96,-0.030357,0.006211,1.676285,0.004718,0.075666,0.25865,0.020368,0.0,0.0001,,,,,none
50826,96,0.021517,0.004926,1.676247,0.004718,0.070777,0.050643,0.008789,0.0,0.0001,,,,,none
54191,100,0.107926,0.006104,1.676211,0.004706,0.081044,0.069657,0.010375,0.0,0.0001,,,,,none
54191,100,-0.194311,0.010447,1.676193,0.004706,0.106322,0.101827,0.043899,0.0,0.0001,,,,,none
54191,100,0.038494,0.007608,1.676182,0.004706,0.090315,0.079366,0.012018,0.0,0.0001,,,,,none
54191,100,-0.084357,0.00763,1.676181,0.004706,0.092037,0.077638,0.022483,0.0,0.0001,,,,,none
54191,100,-0.049783,0.007955,1.676193,0.004706,0.093869,0.122114,0.013899,0.0,0.0001,,,,,none
54191,100,0.048161,0.006346,1.676212,0.004706,0.085729,0.144658,0.013355,0.0,0.0001,,,,,none
54191,100,-0.036428,0.007136,1.676224,0.004706,0.09214,0.231757,0.010133,0.0,0.0001,,,,,none
54191,100,0.030175,0.006652,1.676234,0.004706,0.083686,0.079912,0.016208,0.0,0.0001,,,,,none
55409,104,-0.018275,0.007797,1.676251,0.004694,0.078648,0.272822,0.012626,0.0,0.0001,,,,,none
55409,104,-0.017257,0.007798,1.67628,0.004694,0.078451,0.280585,0.013187,0.0,0.0001,,,,,none
55409,104,-0.015925,0.007798,1.67632,0.004694,0.078285,0.125616,0.014017,0.0,0.0001,,,,,none
55409,104,-0.016663,0.007806,1.676368,0.004694,0.07829,0.507202,0.01526,0.0,0.0001,,,,,none
57655,108,0.036481,0.005719,1.676425,0.004682,0.068064,0.130476,0.044231,0.0,0.0001,,,,,none
57655,108,-0.446915,0.011376,1.676481,0.004682,0.098136,0.539102,0.024271,0.0,0.0001,,,,,none
57655,108,-0.045688,0.005976,1.676523,0.004682,0.068129,0.136628,0.032774,0.0,0.0001,,,,,none
57655,108,0.315622,0.009196,1.676561,0.004682,0.098665,0.539228,0.084817,0.0,0.0001,,,,,none
57655,108,0.000861,0.006219,1.676619,0.004682,0.068106,0.122571,0.033391,0.0,0.0001,,,,,none
57655,108,-0.118441,0.005973,1.676677,0.004682,0.070741,0.953164,0.007222,0.0,0.0001,,,,,none
57655,108,-0.036496,0.006172,1.676713,0.004682,0.06322,0.155248,0.014525,0.0,0.0001,,,,,none
57655,108,0.221589,0.004091,1.676745,0.004682,0.058501,0.151883,0.033228,0.0,0.0001,,,,,none
61544,112,-0.074641,0.005444,1.676765,0.00467,0.074806,0.153029,0.022564,0.0,0.0001,,,,,none
61544,112,0.070205,0.005639,1.676793,0.00467,0.065051,0.111369,0.013341,0.0,0.0001,,,,,none
61544,112,0.04543,0.005853,1.676818,0.00467,0.065469,0.176016,0.028118,0.0,0.0001,,,,,none
61544,112,-0.062034,0.005592,1.676842,0.00467,0.071411,0.252031,0.043888,0.0,0.0001,,,,,none
61544,112,-0.04711,0.005735,1.676858,0.00467,0.068277,0.110802,0.047274,0.0,0.0001,,,,,none
61544,112,0.039444,0.005712,1.676873,0.00467,0.066678,0.154615,0.034266,0.0,0.0001,,,,,none
61544,112,0.064137,0.005536,1.676883,0.00467,0.060569,0.122988,0.028312,0.0,0.0001,,,,,none
61544,112,-0.080069,0.005419,1.676883,0.00467,0.072731,0.054897,0.042461,0.0,0.0001,,,,,none
63044,116,-0.020241,0.007721,1.676887,0.004658,0.06751,0.273123,0.020049,0.0,0.0001,,,,,none
63044,116,-0.020125,0.00773,1.676883,0.004658,0.068436,0.27303,0.017709,0.0,0.0001,,,,,none
63044,116,-0.01959,0.007739,1.676872,0.004658,0.069476,0.272288,0.016266,0.0,0.0001,,,,,none
63044,116,-0.018667,0.007748,1.676856,0.004658,0.070575,0.261385,0.015945,0.0,0.0001,,,,,none
64557,120,-0.013427,0.008737,1.676833,0.004646,0.07574,0.346085,0.011848,0.0,0.0001,,,,,none
64557,120,-0.013846,0.008739,1.676813,0.004646,0.076227,0.346159,0.01074,0.0,0.0001,,,,,none
