episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,128,-8.0565,-8.0565,128,0,0,1,0,3.6824,2.035,collision,2.0,-0.168028,0.422712,-0.832807,0.77592,5.520763,0.809765,0.731283,5.998209,0.410767,0.386407,-0.244996,1.0,,,,,,,,,,,,,,0,lstm
2,262,-5.3413,-6.6989,134,0,0,1,0,3.6868,2.08,collision,3.9,-0.11909,0.427448,-0.850153,0.797196,5.456816,0.761313,2.350174,5.997279,0.420751,0.394302,-0.260832,1.00953,,,,,,,,,,,,,,0,lstm
3,396,-4.8717,-6.0899,134,0,0,1,0,3.6599,2.142,collision,5.7,0.006065,0.394378,-0.773234,0.774083,5.304322,1.009916,0.634475,5.993944,0.410471,0.388851,-0.107457,1.005963,,,,,,,,,,,,,,0,lstm
4,525,-9.158,-6.8569,129,0,0,1,0,3.7334,2.038,collision,8.1,-0.199087,0.429609,-0.829729,0.885863,5.469569,0.746394,2.610983,5.996345,0.414304,0.390858,-0.492883,1.013373,-0.036949,0.039148,2.10299,0.006742,0.095554,0.800554,0.0334,0.231696,3.7e-05,,,,,0,lstm
5,664,-2.7919,-6.0439,139,0,0,1,0,3.5606,2.126,collision,9.9,0.002316,0.401737,-0.798551,0.730213,5.336654,0.966366,0.830878,5.993876,0.397133,0.378424,-0.053188,1.0,,,,,,,,,,,,,,0,lstm
6,782,-10.6423,-6.8103,118,0,0,1,0,3.6333,2.101,collision,11.6,-0.005709,0.407012,-0.806671,0.799365,5.452758,0.818741,0.535971,5.999336,0.419175,0.393021,-0.090815,1.0,,,,,,,,,,,,,,0,lstm
7,901,-15.33,-8.0274,119,0,0,1,0,3.7848,2.048,collision,13.3,-0.271982,0.364972,-0.862376,0.565114,5.607684,0.740615,0.294664,5.998745,0.405409,0.393844,-0.606263,1.01766,,,,,,,,,,,,,,0,lstm
8,1025,-11.0497,-8.4052,124,0,0,1,0,3.7448,2.052,collision,15.5,-0.179468,0.416045,-0.872683,0.722423,5.625482,0.5189,2.866732,5.999381,0.404732,0.38567,-0.428785,1.012936,-0.03711,0.037208,2.102774,0.006726,0.08546,0.841198,0.039757,0.234732,4.9e-05,,,,,0,lstm
9,1152,-7.7953,-8.3374,127,0,0,1,0,3.7309,2.065,collision,17.3,-0.10946,0.427035,-0.847166,0.784762,5.437566,0.853352,1.447341,5.99528,0.414983,0.387781,-0.242167,1.014913,,,,,,,,,,,,,,0,lstm
10,1279,-7.7172,-8.2754,127,0,0,1,0,3.6691,2.061,collision,19.0,0.029681,0.429262,-0.785867,0.785265,5.199657,1.06005,0.848113,5.998492,0.408184,0.386179,-0.265621,1.0,,,,,,,,,,,,,,0,lstm
11,1407,-7.3015,-8.1999,128,0,0,1,0,3.6549,2.103,collision,20.8,-0.064244,0.419863,-0.83832,0.804738,5.466994,0.897188,1.441765,5.997518,0.423848,0.396101,-0.181873,1.0,,,,,,,,,,,,,,0,lstm
12,1528,-13.129,-8.9787,121,0,0,1,0,3.648,2.078,collision,23.0,-0.225485,0.391489,-0.820251,0.82361,5.581419,0.604199,2.316732,5.996909,0.414028,0.395314,-0.525612,1.0,-0.055062,0.028788,2.10264,0.00671,0.094921,0.77361,0.013743,0.170157,6.1e-05,,,,,0,lstm
13,1667,-3.0893,-8.8004,139,0,0,1,0,3.5739,2.135,collision,24.9,0.007249,0.40001,-0.816489,0.797852,5.355993,0.862353,1.052535,5.998852,0.399122,0.382711,-0.093588,1.0,,,,,,,,,,,,,,0,lstm
14,1796,-6.3635,-8.521,129,0,0,1,0,3.5827,2.121,collision,26.8,0.039638,0.403709,-0.821375,0.807601,5.363867,0.912708,1.068878,5.993534,0.399092,0.37765,-0.098686,1.0,,,,,,,,,,,,,,0,lstm
15,1935,-4.6945,-8.7112,139,0,0,1,0,3.6363,2.094,collision,28.8,0.111054,0.41371,-0.784964,0.85561,5.395114,0.762348,2.098858,5.993966,0.397338,0.382877,-0.433671,1.001004,,,,,,,,,,,,,,0,lstm
16,2075,-2.6379,-7.9108,140,0,0,1,0,3.6038,2.089,collision,31.3,0.018771,0.427913,-0.727653,0.855004,5.48069,0.771107,2.085974,5.995047,0.402054,0.384839,-0.091021,1.0,-0.059691,0.035654,2.102585,0.006693,0.096586,0.799834,0.016701,0.217873,7.3e-05,,,,,0,lstm
17,2216,-4.9593,-6.8737,141,0,0,1,0,3.6947,2.081,collision,33.3,0.142023,0.413485,-0.77622,0.846214,5.238809,1.043059,1.347902,5.99169,0.405352,0.387774,-0.532928,1.015187,,,,,,,,,,,,,,0,lstm
18,2337,-11.2452,-6.8933,121,0,0,1,0,3.722,2.009,collision,35.0,-0.176275,0.434776,-0.834014,0.825042,5.328094,0.91898,1.125252,5.998314,0.416462,0.393825,-0.410425,1.004461,,,,,,,,,,,,,,0,lstm
19,2515,1.2935,-5.9844,178,0,0,1,0,3.6231,2.009,collision,37.6,0.178337,0.415462,-0.818074,0.821382,5.142087,1.191162,0.273225,5.995924,0.397911,0.393141,-0.743614,1.014455,,,,,,,,,,,,,,0,lstm
20,2664,-1.1975,-5.3324,149,0,0,1,0,3.5464,2.093,collision,40.2,0.098411,0.41933,-0.771094,0.842026,5.290991,0.862453,2.2541,5.996471,0.385492,0.376982,-0.431101,1.0,-0.052342,0.03469,2.102554,0.006677,0.086943,0.790174,0.017073,0.188494,8.5e-05,,,,,0,lstm
21,2791,-7.1901,-5.3213,127,0,0,1,0,3.6993,2.165,collision,42.0,-0.011429,0.389316,-0.822944,0.727816,5.490887,0.789558,1.80271,5.997105,0.414607,0.389402,-0.03754,1.010816,,,,,,,,,,,,,,0,lstm
22,2931,-9.2052,-4.9289,140,0,0,1,0,3.6841,2.036,collision,44.0,0.193476,0.399186,-0.728905,0.822111,5.215722,1.072478,0.765716,5.998036,0.398402,0.390729,-0.695886,1.007112,,,,,,,,,,,,,,0,lstm
23,3059,-7.8088,-5.4009,128,0,0,1,0,3.6704,2.081,collision,45.8,-0.121575,0.431731,-0.849306,0.816799,5.489379,0.733855,2.519946,5.997424,0.411504,0.388578,-0.293437,1.0,,,,,,,,,,,,,,0,lstm
24,3201,-4.7472,-5.2392,142,0,0,1,0,3.6648,2.074,collision,48.2,0.143792,0.424439,-0.830575,0.818807,5.33472,0.860978,1.984318,5.994147,0.401626,0.387242,-0.515202,1.008129,-0.062256,0.025074,2.102649,0.006661,0.080424,0.16117,0.016801,0.052702,9.7e-05,,,,,0,lstm
25,3321,-17.4315,-6.5129,120,0,0,1,0,3.7071,1.922,collision,50.0,-0.328081,0.427765,-0.865952,0.729329,5.563324,0.744228,1.644493,5.999123,0.388595,0.384001,-0.711605,1.0,,,,,,,,,,,,,,0,lstm
26,3456,-4.4291,-6.692,135,0,0,1,0,3.5762,2.156,collision,51.9,0.048927,0.388993,-0.799943,0.817244,5.321299,0.983785,0.598475,5.995015,0.398051,0.376672,-0.189234,1.0,,,,,,,,,,,,,,0,lstm
27,3587,-6.4978,-6.8459,131,0,0,1,0,3.717,2.111,collision,53.8,-0.070577,0.402788,-0.837492,0.728403,5.25967,1.118039,1.440414,5.996729,0.411925,0.387416,-0.17877,1.01581,,,,,,,,,,,,,,0,lstm
28,3713,-8.6194,-6.5833,126,0,0,1,0,3.6662,2.088,collision,56.1,-0.100698,0.409387,-0.820961,0.700134,5.517074,0.829615,0.993351,5.995388,0.410997,0.385337,-0.245501,1.0,-0.045718,0.039228,2.102869,0.006645,0.092481,0.413235,0.013569,0.185715,0.0001,,,,,0,lstm
29,3842,-11.0724,-7.8199,129,0,0,1,0,3.6643,2.073,collision,57.9,-0.23555,0.378736,-0.851977,0.641764,5.522069,0.689964,1.98475,5.999227,0.41166,0.392696,-0.583262,1.0,,,,,,,,,,,,,,0,lstm
30,3970,-8.1383,-8.514,128,0,0,1,0,3.7014,2.049,collision,59.7,0.116461,0.450151,-0.80774,0.844511,5.442031,0.804726,1.528929,5.997004,0.405768,0.385168,-0.357347,1.007394,,,,,,,,,,,,,,0,lstm
31,4094,-8.4338,-8.6384,124,0,0,1,0,3.6527,2.037,collision,61.5,-0.063888,0.445006,-0.77702,0.768607,5.434722,0.865758,1.147132,5.998063,0.417935,0.391529,-0.137053,1.0,,,,,,,,,,,,,,0,lstm
32,4216,-12.6211,-8.9799,122,0,0,1,0,3.6779,1.999,collision,63.5,-0.162351,0.451455,-0.83432,0.787259,5.514087,0.800808,1.471188,5.998722,0.403859,0.386565,-0.505635,1.0,-0.079843,0.035162,2.103239,0.006629,0.079646,0.491842,0.01304,0.132789,0.0001,,,,,0,lstm
33,4343,-11.0947,-9.3085,127,0,0,1,0,3.6252,2.004,collision,65.4,-0.161944,0.460977,-0.865994,0.84543,5.658914,0.516314,3.153097,5.999375,0.415414,0.393188,-0.55479,1.0,,,,,,,,,,,,,,0,lstm
34,4499,0.5734,-8.7765,156,0,0,1,0,3.5076,2.138,collision,67.7,0.140052,0.378103,-0.715305,0.83678,5.299817,0.928465,1.305148,5.995226,0.383181,0.378406,-0.486587,1.0,,,,,,,,,,,,,,0,lstm
35,4645,-5.5257,-7.5859,146,0,0,1,0,3.6242,2.061,collision,69.7,0.160161,0.416003,-0.808437,0.848091,5.239698,1.014159,0.569401,5.997048,0.391769,0.384207,-0.623444,1.0,,,,,,,,,,,,,,0,lstm
36,4765,-11.201,-8.2631,120,0,0,1,0,3.6774,2.057,collision,72.0,-0.136109,0.424125,-0.825145,0.710724,5.530859,0.73079,1.826827,5.996584,0.40329,0.381586,-0.311756,1.0,-0.058594,0.034316,2.103587,0.006612,0.080977,0.265402,0.01336,0.070255,0.0001,,,,,0,lstm
37,4895,-5.9425,-8.2076,130,0,0,1,0,3.5841,2.066,collision,73.8,0.017536,0.43427,-0.85274,0.819135,5.411741,0.82901,0.863418,5.995144,0.403092,0.379515,-0.065349,1.0,,,,,,,,,,,,,,0,lstm
38,5039,-1.6239,-7.508,144,0,0,1,0,3.584,2.087,collision,75.8,0.028331,0.414546,-0.795448,0.82303,5.327236,1.000149,0.505448,5.991473,0.382578,0.370891,-0.214838,1.0,,,,,,,,,,,,,,0,lstm
39,5173,-4.7554,-6.8763,134,0,0,1,0,3.668,2.19,collision,77.6,-0.046763,0.370478,-0.798578,0.808584,5.427042,0.87516,1.644701,5.996088,0.411638,0.388749,-0.027147,1.009363,,,,,,,,,,,,,,0,lstm
40,5299,-9.8321,-7.0457,126,0,0,1,0,3.6538,2.137,collision,79.8,-0.151889,0.381708,-0.872255,0.668966,5.634294,0.552782,2.731898,5.993343,0.401388,0.381389,-0.403195,1.0,-0.059023,0.036332,2.104088,0.006596,0.096872,0.668737,0.059611,0.194883,0.0001,,,,,0,lstm
41,5418,-11.8142,-7.3837,119,0,0,1,0,3.7506,2.061,collision,81.5,-0.155945,0.420795,-0.85287,0.767596,5.61247,0.532035,2.401211,5.994762,0.403901,0.383337,-0.363448,1.012906,,,,,,,,,,,,,,0,lstm
42,5548,-7.9101,-6.9126,130,0,0,1,0,3.732,2.097,collision,83.4,-0.128954,0.408361,-0.821933,0.767736,5.534583,0.809805,1.545731,5.993149,0.411913,0.38789,-0.326088,1.017006,,,,,,,,,,,,,,0,lstm
43,5672,-8.8904,-6.6922,124,0,0,1,0,3.7253,2.095,collision,85.1,-0.127627,0.402705,-0.789154,0.717421,5.49292,0.668554,2.377967,5.997756,0.411295,0.384868,-0.28789,1.012861,,,,,,,,,,,,,,0,lstm
44,5804,-5.3267,-7.2822,132,0,0,1,0,3.6882,2.094,collision,87.4,-0.050505,0.418495,-0.829373,0.859224,5.49546,0.671427,2.025133,5.9992,0.411867,0.386494,-0.039454,1.009949,-0.028646,0.042409,2.104482,0.00658,0.093016,0.549031,0.044573,0.149318,0.0001,,,,,0,lstm
45,6220,55.1172,-1.2179,416,0,0,1,0,3.0461,2.036,collision,93.3,0.203016,0.418125,-0.799474,0.869227,5.312591,0.903511,0.824553,5.997726,0.389738,0.393132,-0.901787,1.0,,,,,,,,,,,,,,0,lstm
46,6352,-5.6056,-0.6584,132,0,0,1,0,3.7133,2.106,collision,95.2,0.015178,0.422837,-0.78307,0.820186,5.48654,0.678949,1.987574,5.996554,0.416271,0.390295,-0.317682,1.012717,,,,,,,,,,,,,,0,lstm
47,6478,-10.3341,-1.0975,126,0,0,1,0,3.7256,2.076,collision,96.9,-0.130614,0.420972,-0.877565,0.727712,5.527412,0.74849,1.310909,5.993586,0.402692,0.38372,-0.439316,1.010374,,,,,,,,,,,,,,0,lstm
48,6633,-0.4842,-0.9835,155,0,0,1,0,3.5496,2.059,collision,99.6,0.11669,0.428079,-0.853151,0.871123,5.313022,0.917692,1.347224,5.998573,0.384334,0.378061,-0.495053,1.0,-0.019874,0.02514,2.10481,0.006564,0.101689,0.530762,0.025446,0.139698,0.0001,,,,,0,lstm
49,6763,-7.2701,-1.235,130,0,0,1,0,3.7317,2.063,collision,101.5,0.087563,0.442026,-0.808328,0.812386,5.469009,0.771141,1.63096,5.996901,0.410072,0.388838,-0.354215,1.016215,,,,,,,,,,,,,,0,lstm
50,6880,-11.7038,-1.4222,117,0,0,1,0,3.7625,2.102,collision,103.2,-0.092626,0.416886,-0.831028,0.806853,5.64154,0.579957,2.435571,5.997705,0.406979,0.384652,-0.240445,1.016587,,,,,,,,,,,,,,0,lstm
51,6991,-19.5237,-2.1931,111,0,0,1,0,3.7473,1.954,collision,104.7,-0.333618,0.40106,-0.885373,0.713558,5.52877,0.655604,2.273815,5.995416,0.382426,0.382043,-0.657108,1.0,,,,,,,,,,,,,,0,lstm
52,7129,-4.0093,-1.8031,138,0,0,1,0,3.6968,2.096,collision,107.2,0.055943,0.417427,-0.74793,0.851213,5.482665,0.702229,0.533725,5.998568,0.41201,0.38834,-0.280181,1.016081,-0.071329,0.037558,2.10512,0.006548,0.090306,0.332469,0.108409,0.09897,0.0001,,,,,0,lstm
53,7273,-1.3287,-1.0469,144,0,0,1,0,3.6454,2.11,collision,109.2,-0.048671,0.411561,-0.830198,0.783253,5.557701,0.605378,2.782715,5.99823,0.403595,0.383325,-0.136787,1.007514,,,,,,,,,,,,,,0,lstm
54,7414,-2.8684,-0.8011,141,0,0,1,0,3.6058,2.053,collision,111.2,0.024933,0.442845,-0.875358,0.81771,5.451195,0.841839,1.074974,5.998464,0.399569,0.378171,-0.174145,1.0,,,,,,,,,,,,,,0,lstm
55,7533,-13.0754,-7.6203,119,0,0,1,0,3.6294,2.055,collision,112.9,-0.140391,0.432862,-0.856165,0.814757,5.529875,0.805118,1.495199,5.99661,0.422356,0.39945,-0.436511,1.0,,,,,,,,,,,,,,0,lstm
56,7658,-8.3557,-7.8953,125,0,0,1,0,3.6733,2.1,collision,115.3,-0.016153,0.420019,-0.810855,0.777229,5.532258,0.734851,2.289083,5.998559,0.40904,0.387102,-0.095977,1.000692,-0.060412,0.031658,2.105439,0.006531,0.10524,0.806273,0.026672,0.197727,0.0001,,,,,0,lstm
57,7773,-15.3078,-8.3927,115,0,0,1,0,3.724,2.042,collision,116.9,-0.252104,0.39798,-0.860065,0.794919,5.58781,0.585361,2.793803,5.993047,0.401303,0.388688,-0.524741,1.000659,,,,,,,,,,,,,,0,lstm
58,7934,1.1404,-8.2303,161,0,0,1,0,3.576,2.086,collision,119.0,0.107244,0.418802,-0.765752,0.870378,5.615991,0.521433,2.919757,5.994185,0.391089,0.381662,-0.455603,1.0,,,,,,,,,,,,,,0,lstm
59,8483,55.6094,-1.9423,549,0,0,1,0,2.8244,2.058,collision,126.6,0.194233,0.410756,-0.863937,0.860717,5.361533,0.873067,0.553143,5.997829,0.371371,0.395676,-0.9588,1.0,,,,,,,,,,,,,,0,lstm
60,8628,-2.812,-1.0531,145,0,0,1,0,3.6375,2.092,collision,129.1,0.075113,0.416172,-0.747211,0.837499,5.349238,0.859897,1.603992,5.99868,0.394509,0.381315,-0.388149,1.000896,-0.030936,0.028961,2.105798,0.006515,0.091114,0.624315,0.064216,0.191933,0.0001,,,,,0,lstm
61,9309,154.6628,16.3655,681,0,0,1,0,2.1835,2.086,collision,138.5,0.039008,0.434758,-0.872739,0.848481,5.503163,0.71131,1.100349,5.998922,0.394014,0.394203,-0.767574,1.0,,,,,,,,,,,,,,0,lstm
62,9434,-14.9064,15.2758,125,0,0,1,0,3.724,1.974,collision,140.2,-0.33266,0.375607,-0.892829,0.621142,5.670677,0.607785,1.258126,5.999082,0.403071,0.390751,-0.707924,1.0,,,,,,,,,,,,,,0,lstm
63,9569,-8.6067,14.548,135,0,0,1,0,3.7416,1.992,collision,142.1,-0.229885,0.434293,-0.884583,0.753229,5.677936,0.506834,3.411399,5.999598,0.412356,0.392494,-0.596591,1.016651,,,,,,,,,,,,,,0,lstm
64,9689,-12.7927,13.5556,120,0,0,1,0,3.6812,2.015,collision,144.5,-0.243454,0.415253,-0.871815,0.769004,5.626467,0.664846,2.182369,5.998751,0.409781,0.391704,-0.489702,1.0,0.011475,0.022444,2.106015,0.006499,0.100171,0.267968,0.151762,0.100645,0.0001,,,,,0,lstm
65,9844,1.5856,15.0217,155,0,0,1,0,3.5846,2.108,collision,146.6,0.023085,0.416035,-0.74168,0.84054,5.528721,0.814621,0.898853,5.998517,0.382018,0.369994,-0.235426,1.000043,,,,,,,,,,,,,,0,lstm
66,10503,172.2135,33.0786,659,0,0,1,0,2.143,2.102,collision,155.5,-0.054169,0.425765,-0.874772,0.848943,5.536655,0.695056,1.441609,5.999374,0.39842,0.39268,-0.723579,1.0,,,,,,,,,,,,,,0,lstm
67,10615,-20.7673,32.5326,112,0,0,1,0,3.7747,1.892,collision,157.2,-0.384113,0.395712,-0.87611,0.828932,5.711932,0.442455,3.300297,5.998401,0.383629,0.38507,-0.712429,1.000325,,,,,,,,,,,,,,0,lstm
68,10783,-0.271,32.3915,168,0,0,1,0,3.5748,2.122,collision,160.2,0.108553,0.411901,-0.830995,0.83542,5.425256,0.701707,2.283915,5.998502,0.380647,0.379169,-0.590598,1.001289,-0.005706,0.020884,2.10617,0.006483,0.105757,0.104242,0.116521,0.074186,0.0001,,,,,0,lstm
69,11320,71.1723,33.9478,537,0,0,1,0,2.6931,2.079,collision,167.5,0.130686,0.412345,-0.853268,0.861357,5.436548,0.852842,0.183292,5.997419,0.379351,0.393534,-0.981621,1.0,,,,,,,,,,,,,,0,lstm
70,11447,-11.6058,33.0684,127,0,0,1,0,3.6287,1.97,collision,169.3,-0.226051,0.447317,-0.867081,0.724243,5.578412,0.630903,2.476808,5.998135,0.423896,0.398696,-0.556875,1.0,,,,,,,,,,,,,,0,lstm
71,11605,-2.1017,17.392,158,0,0,1,0,3.6208,2.105,collision,171.6,0.110917,0.409934,-0.712886,0.778587,5.451175,0.809276,1.340186,5.9937,0.393749,0.381033,-0.554912,1.005866,,,,,,,,,,,,,,0,lstm
72,11748,-1.7437,18.7082,143,0,0,1,0,3.5525,2.15,collision,174.3,-0.024436,0.402047,-0.828797,0.886828,5.506213,0.784852,1.025274,5.999794,0.39717,0.377402,-0.158015,1.0,-0.023824,0.019272,2.106207,0.006467,0.087276,0.418759,0.089993,0.114514,0.0001,,,,,0,lstm
73,11880,-7.6823,18.8007,132,0,0,1,0,3.6051,2.088,collision,176.2,-0.133592,0.412245,-0.869768,0.715156,5.698452,0.43205,3.681284,5.998999,0.413095,0.387847,-0.398802,1.0,,,,,,,,,,,,,,0,lstm
74,12008,-12.8865,18.7913,128,0,0,1,0,3.6613,1.981,collision,178.0,-0.266034,0.413425,-0.871581,0.810611,5.618734,0.709408,0.487769,5.997841,0.406658,0.390351,-0.665958,1.0,,,,,,,,,,,,,,0,lstm
75,12129,-12.1486,17.4179,121,0,0,1,0,3.7589,2.037,collision,179.7,-0.162207,0.436048,-0.869198,0.765913,5.587948,0.610858,2.213153,5.998137,0.407062,0.388337,-0.438225,1.014679,,,,,,,,,,,,,,0,lstm
76,12786,171.0026,17.2968,657,0,0,1,0,2.1597,2.11,collision,189.4,-0.042523,0.417439,-0.840425,0.883022,5.49589,0.790035,0.994517,5.999208,0.396412,0.392981,-0.722942,1.0,0.002702,0.020484,2.106496,0.00645,0.092869,0.374599,0.041584,0.093617,0.0001,,,,,0,lstm
77,12906,-12.6939,18.1042,120,0,0,1,0,3.6533,2.136,collision,191.1,-0.211851,0.334088,-0.798572,0.431537,5.648541,0.666296,0.323339,5.998034,0.412253,0.390111,-0.421224,1.0,,,,,,,,,,,,,,0,lstm
78,13445,73.1113,25.4424,539,0,0,1,0,2.7058,2.084,collision,198.5,0.155063,0.404828,-0.801669,0.877012,5.444515,0.833721,0.37397,5.999349,0.379378,0.390807,-0.964653,1.0,,,,,,,,,,,,,,0,lstm
79,13605,-2.4381,18.0813,160,0,0,1,0,3.5736,2.073,collision,200.7,0.092763,0.423333,-0.816414,0.845103,5.514139,0.818898,0.292302,5.9967,0.374847,0.375719,-0.537563,1.0,,,,,,,,,,,,,,0,lstm
80,13748,-4.1369,18.8282,143,0,0,1,0,3.6381,2.107,collision,203.5,0.083912,0.411182,-0.800371,0.820049,5.451035,0.80119,1.786186,5.997476,0.400776,0.384864,-0.45273,1.002321,-0.023192,0.020093,2.106755,0.006434,0.092827,0.24108,0.132425,0.086059,0.0001,,,,,0,lstm
81,13895,-1.9581,18.8426,147,0,0,1,0,3.6051,2.115,collision,205.6,0.027946,0.411369,-0.790699,0.826355,5.531714,0.764043,1.257554,5.996971,0.39274,0.375657,-0.341798,1.0,,,,,,,,,,,,,,0,lstm
82,14747,174.4608,36.463,852,0,0,1,0,2.1465,2.066,collision,217.3,0.077387,0.436703,-0.871683,0.876677,5.555652,0.72481,0.858948,5.999107,0.394564,0.40371,-0.923963,1.0,,,,,,,,,,,,,,0,lstm
83,14897,-2.0347,37.0278,150,0,0,1,0,3.5573,2.139,collision,219.4,0.067971,0.398753,-0.807577,0.836253,5.542499,0.649264,2.118212,5.998546,0.390485,0.378071,-0.611589,1.0,,,,,,,,,,,,,,0,lstm
84,15032,-4.7765,37.8388,135,0,0,1,0,3.6478,2.071,collision,221.9,-0.073059,0.434965,-0.805592,0.788259,5.623111,0.538205,3.033921,5.998926,0.401052,0.378401,-0.180836,1.0,-0.012968,0.022082,2.107019,0.006418,0.102848,0.68003,0.038674,0.206136,0.0001,,,,,0,lstm
85,15151,-14.2783,37.6258,119,0,0,1,0,3.757,2.009,collision,223.5,-0.29019,0.394272,-0.87312,0.827646,5.782536,0.467937,1.742809,5.997129,0.406682,0.392626,-0.57545,1.010044,,,,,,,,,,,,,,0,lstm
86,15300,-0.854,20.4401,149,0,0,1,0,3.6581,2.043,collision,225.6,-0.062312,0.450274,-0.842195,0.787703,5.582556,0.555544,1.744476,5.997877,0.399267,0.376155,-0.242465,1.009737,,,,,,,,,,,,,,0,lstm
87,15428,-11.1498,20.5946,128,0,0,1,0,3.7498,2.055,collision,227.4,-0.260916,0.368457,-0.855565,0.661795,5.758734,0.44317,3.104257,5.996019,0.416023,0.397061,-0.549189,1.014653,,,,,,,,,,,,,,0,lstm
88,15599,1.8838,13.4718,171,0,0,1,0,3.5946,2.118,collision,230.1,0.086679,0.403997,-0.799612,0.794099,5.636254,0.570471,2.353446,5.999467,0.39164,0.384755,-0.604471,1.010293,-0.061712,0.030229,2.107359,0.006402,0.094095,0.185843,0.158558,0.072407,0.0001,,,,,0,lstm
89,16791,310.969,44.8125,1192,0,0,1,0,0.9787,2.096,collision,246.2,-0.040796,0.423919,-0.881365,0.853637,5.537806,0.713082,0.215271,5.998907,0.376463,0.397258,-0.702216,1.0,,,,,,,,,,,,,,0,lstm
90,16915,-10.7868,44.1475,124,0,0,1,0,3.755,2.049,collision,247.9,-0.178296,0.414285,-0.87097,0.663667,5.821111,0.256472,4.629977,5.997437,0.410407,0.38886,-0.48849,1.00951,,,,,,,,,,,,,,0,lstm
