episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,140,-3.4701,-3.4701,140,0,0,1,0,3.6704,1.96,collision,1.8,-0.276201,0.403116,-0.848405,0.625175,4.571767,1.203495,0.346785,5.970501,0.424043,0.395288,-0.244539,1.0,,,,,,,,,,,,,,0,none
2,296,1.6653,-0.9024,156,0,0,1,0,3.6596,1.964,collision,3.6,-0.245286,0.418475,-0.861855,0.74935,4.47062,1.214554,1.117871,5.969498,0.413825,0.39081,-0.260318,1.009804,,,,,,,,,,,,,,0,none
3,436,-3.0109,-1.6052,140,0,0,1,0,3.6656,2.029,collision,5.3,-0.14086,0.4128,-0.850053,0.737766,4.400223,1.379322,0.358185,5.925871,0.413825,0.389853,-0.117844,1.004762,,,,,,,,,,,,,,0,none
4,906,-40.5948,-11.3526,470,0,0,1,0,3.6404,2.027,collision,11.4,0.005861,0.452646,-0.890036,0.855174,4.636556,1.220384,0.164761,5.990355,0.392686,0.4373,-0.999947,1.013411,-0.022991,0.018075,1.731389,0.004994,0.081126,0.377634,0.027924,0.0,3.7e-05,,,,,0,none
5,1050,-1.3198,-9.3461,144,0,0,1,0,3.56,2.097,collision,13.0,-0.082114,0.397844,-0.779537,0.694496,4.484165,1.173013,1.176488,5.988407,0.411867,0.38883,-0.118044,1.0,,,,,,,,,,,,,,0,none
6,1183,-4.8753,-8.6009,133,0,0,1,0,3.5938,2.072,collision,14.6,-0.063219,0.397801,-0.80543,0.754978,4.503119,1.255513,0.607065,5.98485,0.412553,0.383918,-0.084044,1.0,,,,,,,,,,,,,,0,none
7,1322,-7.3846,-8.4272,139,0,0,1,0,3.7855,1.745,collision,16.2,-0.487653,0.363721,-0.894317,0.543059,4.195674,1.475617,0.326776,5.954525,0.417383,0.392263,-0.549378,1.017835,,,,,,,,,,,,,,0,none
8,1775,-27.5402,-10.8163,453,0,0,1,0,3.6471,2.025,collision,21.8,-0.017287,0.462833,-0.890097,0.845701,4.66481,1.156829,0.670768,5.983841,0.39574,0.433258,-0.999906,1.012522,-0.023558,0.020488,1.731367,0.004982,0.087455,0.225566,0.015975,0.0,4.9e-05,,,,,0,none
9,2207,-36.947,-13.7197,432,0,0,1,0,3.6697,2.032,collision,26.8,0.025248,0.450331,-0.872191,0.860518,4.671969,1.191633,0.44175,5.958926,0.397939,0.438638,-1.0,1.007173,,,,,,,,,,,,,,0,none
10,2347,-3.1369,-12.6614,140,0,0,1,0,3.6422,2.028,collision,28.4,-0.031394,0.418062,-0.863253,0.801765,4.299411,1.354465,0.399525,5.961426,0.412139,0.386326,-0.297959,1.0,,,,,,,,,,,,,,0,none
11,2488,-2.5133,-12.5657,141,0,0,1,0,3.6313,2.044,collision,30.0,-0.167835,0.369878,-0.824137,0.68585,4.403713,1.385089,0.212635,5.97021,0.418669,0.390821,-0.157656,1.0,,,,,,,,,,,,,,0,none
12,2628,-4.9601,-13.2283,140,0,0,1,0,3.6214,1.897,collision,31.8,-0.339246,0.423243,-0.895294,0.700468,4.43698,1.25229,0.561378,5.967335,0.420454,0.393005,-0.465932,1.0,-0.028603,0.017716,1.731292,0.00497,0.088888,0.221632,0.016445,0.0,6.1e-05,,,,,0,none
13,2777,0.6405,-12.8631,149,0,0,1,0,3.5423,2.143,collision,33.5,-0.029992,0.372615,-0.839138,0.816268,4.477004,1.217341,0.736382,5.960651,0.40755,0.386376,-0.091236,1.0,,,,,,,,,,,,,,0,none
14,2910,-4.8095,-9.2846,133,0,0,1,0,3.5706,2.136,collision,35.0,-0.044239,0.3647,-0.781574,0.710762,4.511991,1.258513,0.658964,5.979476,0.410992,0.384895,-0.112791,1.0,,,,,,,,,,,,,,0,none
15,3058,-2.3306,-9.3857,148,0,0,1,0,3.6279,2.041,collision,36.8,0.006375,0.443894,-0.830972,0.785602,4.615497,1.173955,1.288815,5.968477,0.40271,0.388887,-0.43756,1.000937,,,,,,,,,,,,,,0,none
16,3207,0.3425,-8.8639,149,0,0,1,0,3.5812,2.072,collision,38.8,-0.021167,0.418867,-0.838542,0.753364,4.518233,1.212503,1.197623,5.940517,0.409542,0.3885,-0.15145,1.0,-0.061247,0.035497,1.73121,0.004958,0.09488,0.252897,0.030566,0.0,7.3e-05,,,,,0,none
17,3489,28.6815,-5.2573,282,0,0,1,0,3.438,2.095,collision,42.0,0.084093,0.386005,-0.74102,0.785538,4.729229,1.218578,0.529995,5.983749,0.398341,0.39139,-0.578428,1.014587,,,,,,,,,,,,,,0,none
18,3918,-43.0311,-6.8064,429,0,0,1,0,3.6806,1.99,collision,46.9,-0.007799,0.471363,-0.890534,0.811474,4.655373,1.234809,0.585798,5.984067,0.399394,0.442658,-1.0,1.0,,,,,,,,,,,,,,0,none
19,4183,7.3371,-2.378,265,0,0,1,0,3.5782,2.016,collision,50.0,0.132827,0.432134,-0.786279,0.837911,4.729984,1.168753,0.596171,5.981098,0.390136,0.41055,-0.763335,1.016656,,,,,,,,,,,,,,0,none
20,4334,-0.8377,-2.1481,151,0,0,1,0,3.5522,2.064,collision,52.4,0.106216,0.426802,-0.782974,0.853201,4.637173,1.174492,1.273757,5.984271,0.386831,0.377394,-0.448243,1.0,-0.010705,0.01664,1.73089,0.004946,0.082271,0.22415,0.028945,0.0,8.5e-05,,,,,0,none
21,4474,-2.9546,-2.1922,140,0,0,1,0,3.6888,2.027,collision,54.0,-0.142397,0.423766,-0.814715,0.73624,4.560062,1.166409,1.105196,5.956963,0.410932,0.386983,-0.143089,1.010681,,,,,,,,,,,,,,0,none
22,4743,2.3229,-1.4639,269,0,0,1,0,3.5399,2.065,collision,57.0,0.147343,0.398147,-0.76317,0.832868,4.59927,1.221452,0.593145,5.98064,0.383868,0.407147,-0.763731,1.006404,,,,,,,,,,,,,,0,none
23,4883,-3.4503,-1.873,140,0,0,1,0,3.6675,1.948,collision,58.7,-0.232345,0.447227,-0.875877,0.678459,4.578445,1.189662,0.554671,5.950908,0.417145,0.391583,-0.282494,1.0,,,,,,,,,,,,,,0,none
24,5161,26.3099,1.239,278,0,0,1,0,3.4195,2.108,collision,62.1,0.017336,0.393215,-0.789509,0.852201,4.749328,1.188394,0.365516,5.967269,0.395332,0.391883,-0.610833,1.008319,-0.023539,0.018256,1.730563,0.004934,0.078758,0.19777,0.016823,0.0,9.7e-05,,,,,0,none
25,5319,-8.9496,0.5771,158,0,0,1,0,3.7465,1.623,collision,64.0,-0.557283,0.407708,-0.897231,0.808216,4.620517,1.1228,0.507705,5.910358,0.40757,0.396207,-0.812345,1.0,,,,,,,,,,,,,,0,none
26,5457,-3.0023,0.2426,138,0,0,1,0,3.5676,2.169,collision,65.6,-0.025815,0.382335,-0.726875,0.761744,4.703178,0.99327,1.23065,5.931201,0.408704,0.383771,-0.115361,1.0,,,,,,,,,,,,,,0,none
27,5623,5.1701,-2.1086,166,0,0,1,0,3.6514,2.004,collision,67.5,-0.226572,0.394623,-0.866912,0.74616,4.617202,1.231999,0.631073,5.964341,0.404562,0.384658,-0.303714,1.015785,,,,,,,,,,,,,,0,none
28,5763,-2.9226,1.9023,140,0,0,1,0,3.635,2.038,collision,69.3,-0.184137,0.412109,-0.84998,0.830671,4.508113,1.24527,1.388777,5.940701,0.415082,0.388978,-0.177136,1.0,-0.039054,0.025498,1.730491,0.004922,0.091448,0.46339,0.047196,0.0,0.0001,,,,,0,none
29,5913,-2.5544,0.9131,150,0,0,1,0,3.6534,1.841,collision,71.0,-0.405154,0.414575,-0.890429,0.701423,4.623279,1.139953,1.28516,5.980515,0.417028,0.391164,-0.531428,1.0,,,,,,,,,,,,,,0,none
30,6059,-3.1701,0.6799,146,0,0,1,0,3.6413,2.135,collision,72.8,0.008334,0.398701,-0.880946,0.815343,4.679365,1.009178,1.43548,5.976832,0.401028,0.38242,-0.413813,1.006167,,,,,,,,,,,,,,0,none
31,6196,-3.8225,0.5931,137,0,0,1,0,3.6182,2.038,collision,74.4,-0.141922,0.416991,-0.820791,0.822299,4.575762,1.283205,0.646993,5.950012,0.411789,0.385115,-0.114847,1.0,,,,,,,,,,,,,,0,none
32,6339,-3.9172,-0.0309,143,0,0,1,0,3.6396,1.893,collision,76.3,-0.364316,0.417814,-0.894374,0.687774,4.488281,1.206599,1.027749,5.960903,0.415316,0.388153,-0.452199,1.0,-0.036786,0.030124,1.730734,0.00491,0.091589,0.21295,0.058204,0.0,0.0001,,,,,0,none
33,6482,-4.1725,-0.1031,143,0,0,1,0,3.6006,1.901,collision,78.0,-0.342837,0.420962,-0.896012,0.659266,4.594554,1.186597,0.593178,5.91728,0.41601,0.39025,-0.505729,1.0,,,,,,,,,,,,,,0,none
34,6739,2.3054,-2.5036,257,0,0,1,0,3.4823,2.013,collision,80.9,0.053592,0.457027,-0.870949,0.828508,4.625445,1.190755,0.571967,5.984342,0.352935,0.389543,-0.785088,1.0,,,,,,,,,,,,,,0,none
35,7001,3.843,-1.2243,262,0,0,1,0,3.5108,2.079,collision,83.9,0.064219,0.421611,-0.772951,0.829015,4.740649,1.124786,0.81594,5.971697,0.374433,0.398378,-0.736449,1.0,,,,,,,,,,,,,,0,none
36,7138,-5.2406,-1.4481,137,0,0,1,0,3.6637,1.927,collision,86.0,-0.327436,0.426912,-0.891338,0.582291,4.561822,1.139193,0.299724,5.980153,0.415902,0.387581,-0.370963,1.0,-0.011109,0.022517,1.731227,0.004898,0.082974,0.308883,0.021677,0.0,0.0001,,,,,0,none
37,7827,165.7345,14.6083,689,0,0,1,0,2.1922,2.052,collision,93.6,-0.064375,0.440155,-0.869606,0.850699,4.835804,1.090607,0.522326,5.988507,0.40111,0.396496,-0.725602,1.0,,,,,,,,,,,,,,0,none
38,7983,2.8761,15.1882,156,0,0,1,0,3.5457,2.122,collision,95.4,-0.052714,0.386836,-0.797296,0.719163,4.721151,1.050464,1.393183,5.924763,0.395331,0.377101,-0.227133,1.0,,,,,,,,,,,,,,0,none
39,8133,0.0335,15.447,150,0,0,1,0,3.6579,2.025,collision,97.1,-0.115311,0.409536,-0.888421,0.7758,4.539132,1.332887,0.352606,5.916447,0.404856,0.381441,-0.174603,1.008675,,,,,,,,,,,,,,0,none
40,8282,-0.7318,15.6908,149,0,0,1,0,3.6231,1.961,collision,99.4,-0.275856,0.428896,-0.890189,0.746663,4.595237,1.112282,0.681114,5.943727,0.410625,0.385844,-0.341507,1.0,-0.009482,0.02216,1.731824,0.004886,0.116502,0.322516,0.078418,0.0,0.0001,,,,,0,none
41,8446,-0.6665,16.0064,164,0,0,1,0,3.7452,1.926,collision,101.2,-0.305865,0.424016,-0.882675,0.713332,4.653573,1.110449,0.502758,5.974741,0.41886,0.393697,-0.812213,1.012211,,,,,,,,,,,,,,0,none
42,8630,9.1545,17.3136,184,0,0,1,0,3.6415,1.989,collision,103.2,-0.258884,0.414299,-0.889907,0.707463,4.478661,1.256338,0.92811,5.980223,0.408785,0.387995,-0.530149,1.01562,,,,,,,,,,,,,,0,none
43,9404,-116.724,6.0584,774,0,0,1,0,3.6031,2.121,collision,111.7,0.004524,0.410398,-0.876679,0.822831,4.823284,1.025729,0.512594,5.983843,0.406078,0.465033,-1.0,1.008913,,,,,,,,,,,,,,0,none
44,9549,-1.6104,5.6668,145,0,0,1,0,3.6688,2.048,collision,114.0,-0.156433,0.416072,-0.872936,0.724151,4.752707,1.179628,1.113004,5.984956,0.408022,0.382266,-0.174585,1.002846,-0.006289,0.016657,1.732334,0.004874,0.069892,0.126908,0.016828,0.0,0.0001,,,,,0,none
45,11179,63.7032,11.6528,1630,0,0,1,0,1.4559,2.14,collision,131.7,0.04901,0.390038,-0.829859,0.859977,4.981916,1.030099,0.230884,5.989023,0.382199,0.442341,-1.0,1.0,,,,,,,,,,,,,,0,none
46,11332,0.7604,12.2529,153,0,0,1,0,3.662,2.12,collision,133.4,-0.117047,0.37952,-0.858898,0.683918,4.647289,1.103727,1.489942,5.967333,0.409111,0.384208,-0.242518,1.015779,,,,,,,,,,,,,,0,none
47,11503,5.5544,-3.7651,171,0,0,1,0,3.6479,1.912,collision,135.3,-0.323304,0.417313,-0.882202,0.672247,4.552997,1.248182,0.851609,5.960267,0.404958,0.385263,-0.378412,1.009738,,,,,,,,,,,,,,0,none
48,11760,-0.7622,-4.1289,257,0,0,1,0,3.5144,2.022,collision,139.1,0.049386,0.44709,-0.796529,0.871039,4.635952,1.196455,0.47881,5.995562,0.361953,0.399167,-0.826719,1.0,-0.012558,0.010311,1.732976,0.004862,0.065933,0.242701,0.023748,0.0,0.0001,,,,,0,none
49,11918,1.945,-3.9377,158,0,0,1,0,3.6579,2.097,collision,140.9,-0.080153,0.425298,-0.876918,0.693999,4.665093,0.988913,1.580783,5.976685,0.406331,0.384807,-0.328554,1.009476,,,,,,,,,,,,,,0,none
50,12364,-44.2283,-8.2874,446,0,0,1,0,3.6941,2.06,collision,145.9,0.006129,0.432713,-0.873908,0.835024,4.630905,1.203407,0.139713,5.962844,0.401855,0.442615,-1.0,1.015364,,,,,,,,,,,,,,0,none
51,12496,-12.4141,-9.4621,132,0,0,1,0,3.7801,1.538,collision,147.5,-0.689076,0.212406,-0.896291,0.274501,4.513774,1.3438,0.404004,5.931615,0.39814,0.384007,-0.639643,1.0,,,,,,,,,,,,,,0,none
