episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1262,168.7272,168.7272,1262,0,0,1,0,1.7121,2.159,collision,15.8,-0.015381,0.372562,-0.855489,0.81775,4.803755,1.103715,0.438352,5.995087,0.382562,0.420328,-0.966908,1.0,,,,,,,,,,,,,,0,gru
2,2523,215.3769,192.052,1261,0,0,1,0,1.5141,2.13,collision,31.7,-0.03485,0.390533,-0.850457,0.831731,4.779569,1.134048,0.284072,5.989982,0.382255,0.415502,-0.928771,1.0,,,,,,,,,,,,,,0,gru
3,3814,205.8273,196.6438,1291,0,0,1,0,1.5928,2.154,collision,48.0,-0.000767,0.367678,-0.838197,0.825968,4.757724,1.173712,0.300908,5.991357,0.385324,0.419613,-0.930579,1.003461,,,,,,,,,,,,,,0,gru
4,5120,200.583,197.6286,1306,0,0,1,0,1.597,2.126,collision,66.7,0.010447,0.386032,-0.800075,0.828632,4.731002,1.177382,0.165863,5.993091,0.379102,0.41985,-0.930431,1.0,0.013056,0.010013,1.7449,0.004994,0.057285,0.099104,0.032467,0.068537,3.7e-05,,,,,0,gru
5,6410,234.4419,204.9913,1290,0,0,1,0,1.4782,2.126,collision,83.4,-0.040997,0.38721,-0.874025,0.793661,4.759128,1.152806,0.518505,5.995194,0.381113,0.415628,-0.908661,1.0,,,,,,,,,,,,,,0,gru
6,7661,217.9261,207.1471,1251,0,0,1,0,1.5046,2.148,collision,99.0,-0.018079,0.369768,-0.853458,0.833034,4.714156,1.192328,0.384163,5.98348,0.386424,0.416573,-0.879038,1.0,,,,,,,,,,,,,,0,gru
7,9001,182.0364,203.5598,1340,0,0,1,0,1.7223,2.121,collision,116.3,-0.041285,0.386821,-0.875882,0.851318,4.66656,1.185829,0.359893,5.99693,0.379795,0.420473,-0.966613,1.000387,,,,,,,,,,,,,,0,gru
8,9069,-32.5935,174.0407,68,0,0,1,0,3.838,2.151,collision,120.4,0.08648,0.377986,-0.746273,0.77241,4.919837,0.979962,1.771238,5.970536,0.229518,0.324382,-0.529415,1.0,0.023937,0.013699,1.745072,0.004982,0.056677,0.073754,0.026183,0.05724,4.9e-05,,,,,0,gru
9,10322,219.2248,179.0611,1253,0,0,1,0,1.4636,2.14,collision,136.2,-0.022403,0.380987,-0.8933,0.840523,4.737811,1.162202,0.4588,5.994705,0.383605,0.417351,-0.927129,1.0,,,,,,,,,,,,,,0,gru
10,11614,227.2205,183.8771,1292,0,0,1,0,1.5125,2.145,collision,152.5,-0.004704,0.374041,-0.84109,0.853275,4.693302,1.174223,0.383901,5.985976,0.387039,0.416895,-0.941245,1.009745,,,,,,,,,,,,,,0,gru
