global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
8934,4,-0.033739,0.01154,2.231235,0.006742,0.015451,0.151136,0.002362,0.039883,3.7e-05,,,,,lstm
8934,4,-0.003173,0.009882,2.231235,0.006742,0.018609,0.293089,0.005872,0.059059,3.7e-05,,,,,lstm
8934,4,-0.09489,0.012044,2.231272,0.006742,0.016273,0.190113,0.022515,0.042366,3.7e-05,,,,,lstm
8934,4,-0.016715,0.010427,2.2313,0.006742,0.015638,0.141849,0.000785,0.030863,3.7e-05,,,,,lstm
8934,4,0.23041,0.012761,2.23135,0.006742,0.028174,0.576895,0.060617,0.137018,3.7e-05,,,,,lstm
8934,4,0.038715,0.011417,2.231378,0.006742,0.020775,0.091645,0.017798,0.025695,3.7e-05,,,,,lstm
8934,4,0.013579,0.011,2.231405,0.006742,0.015035,0.082891,0.010517,0.021576,3.7e-05,,,,,lstm
8934,4,-0.116294,0.009864,2.231433,0.006742,0.015482,0.097419,0.021013,0.021277,3.7e-05,,,,,lstm
8934,4,-0.006846,0.010352,2.231465,0.006742,0.015933,0.141365,0.001578,0.031829,3.7e-05,,,,,lstm
8934,4,0.031568,0.014958,2.231503,0.006742,0.017616,0.120316,0.002995,0.032058,3.7e-05,,,,,lstm
8934,4,-0.020852,0.009406,2.23154,0.006742,0.012363,0.165473,0.014037,0.03399,3.7e-05,,,,,lstm
8934,4,0.026659,0.011125,2.231575,0.006742,0.019378,0.164625,0.002447,0.0321,3.7e-05,,,,,lstm
8934,4,-0.009795,0.010623,2.231619,0.006742,0.017219,0.154206,0.009615,0.028658,3.7e-05,,,,,lstm
8934,4,0.029955,0.013482,2.231659,0.006742,0.021987,0.208419,0.000686,0.051373,3.7e-05,,,,,lstm
8934,4,-0.228471,0.009339,2.231703,0.006742,0.014839,0.112529,0.043587,0.033068,3.7e-05,,,,,lstm
8934,4,-0.12404,0.009889,2.231745,0.006742,0.012363,0.077292,0.020988,0.020266,3.7e-05,,,,,lstm
8934,4,0.069402,0.011788,2.231782,0.006742,0.023937,0.431858,0.022958,0.102486,3.7e-05,,,,,lstm
8934,4,0.093619,0.012294,2.231815,0.006742,0.019515,0.210359,0.023914,0.045264,3.7e-05,,,,,lstm
8934,4,-0.066833,0.010243,2.231861,0.006742,0.013301,0.177197,0.002782,0.03895,3.7e-05,,,,,lstm
8934,4,-0.086421,0.008616,2.23191,0.006742,0.011459,0.305789,0.007281,0.055842,3.7e-05,,,,,lstm
18160,8,-0.031558,0.010354,2.231946,0.006726,0.011084,0.123557,0.002203,0.024759,4.9e-05,,,,,lstm
18160,8,-0.053635,0.009786,2.23199,0.006726,0.014741,0.12473,0.003917,0.033164,4.9e-05,,,,,lstm
18160,8,-0.07174,0.012362,2.232022,0.006726,0.014685,0.296268,0.006888,0.070569,4.9e-05,,,,,lstm
18160,8,-0.032289,0.010983,2.232053,0.006726,0.014752,0.256412,0.002187,0.061189,4.9e-05,,,,,lstm
18160,8,0.189785,0.010035,2.232092,0.006726,0.018179,0.417986,0.032978,0.102859,4.9e-05,,,,,lstm
18160,8,-0.075074,0.012194,2.232133,0.006726,0.013675,0.053969,0.013092,0.017683,4.9e-05,,,,,lstm
18160,8,-0.011195,0.0102,2.23217,0.006726,0.012048,0.129042,0.007039,0.031523,4.9e-05,,,,,lstm
18160,8,-0.002113,0.011626,2.232219,0.006726,0.018182,0.459363,0.003415,0.108122,4.9e-05,,,,,lstm
18160,8,-0.044653,0.010479,2.232256,0.006726,0.012158,0.237431,0.008252,0.059889,4.9e-05,,,,,lstm
18160,8,0.084481,0.008574,2.232287,0.006726,0.014155,0.221324,0.012731,0.04763,4.9e-05,,,,,lstm
18160,8,-0.075139,0.011358,2.232312,0.006726,0.010499,0.161469,0.015559,0.044336,4.9e-05,,,,,lstm
18160,8,0.006937,0.011496,2.232335,0.006726,0.014401,0.242063,0.00358,0.063217,4.9e-05,,,,,lstm
18160,8,-0.082366,0.01014,2.232347,0.006726,0.015413,0.305413,0.002171,0.075644,4.9e-05,,,,,lstm
18160,8,0.036011,0.011416,2.232364,0.006726,0.017343,0.164558,0.019324,0.035672,4.9e-05,,,,,lstm
18160,8,0.050232,0.008026,2.232381,0.006726,0.013411,0.187454,0.016165,0.042414,4.9e-05,,,,,lstm
18160,8,-0.089441,0.009484,2.232405,0.006726,0.013773,0.160444,0.004295,0.029602,4.9e-05,,,,,lstm
18160,8,0.042731,0.011474,2.232426,0.006726,0.017006,0.165504,0.021009,0.032806,4.9e-05,,,,,lstm
18160,8,0.000153,0.011677,2.232444,0.006726,0.017817,0.236972,0.012407,0.058917,4.9e-05,,,,,lstm
18160,8,0.033884,0.010473,2.232465,0.006726,0.01333,0.177294,0.00272,0.033802,4.9e-05,,,,,lstm
18160,8,-0.140737,0.009301,2.23249,0.006726,0.012639,0.111368,0.025679,0.028052,4.9e-05,,,,,lstm
27203,12,-0.023044,0.01109,2.232512,0.00671,0.01647,0.109187,0.001376,0.026071,6.1e-05,,,,,lstm
27203,12,-0.005738,0.00902,2.232552,0.00671,0.0143,0.09568,0.003964,0.024413,6.1e-05,,,,,lstm
27203,12,-0.009163,0.011842,2.232588,0.00671,0.02081,0.059729,0.008243,0.012502,6.1e-05,,,,,lstm
27203,12,-0.012939,0.011559,2.232626,0.00671,0.017455,0.159873,0.001923,0.032319,6.1e-05,,,,,lstm
27203,12,-0.063301,0.008498,2.232675,0.00671,0.0109,0.074251,0.014067,0.018343,6.1e-05,,,,,lstm
27203,12,-0.111295,0.009755,2.232712,0.00671,0.01572,0.071372,0.018104,0.028055,6.1e-05,,,,,lstm
27203,12,0.016779,0.010969,2.232747,0.00671,0.017697,0.215392,0.007558,0.038721,6.1e-05,,,,,lstm
27203,12,0.004891,0.010765,2.232792,0.00671,0.017607,0.177713,0.003375,0.038393,6.1e-05,,,,,lstm
27203,12,0.046078,0.010765,2.232834,0.00671,0.019149,0.052466,0.013925,0.012296,6.1e-05,,,,,lstm
27203,12,-0.076833,0.010922,2.232873,0.00671,0.010321,0.177375,0.014649,0.037947,6.1e-05,,,,,lstm
27203,12,-0.068264,0.00944,2.232919,0.00671,0.013925,0.122958,0.009461,0.025968,6.1e-05,,,,,lstm
27203,12,-0.034756,0.012465,2.232967,0.00671,0.018026,0.304922,0.001795,0.076878,6.1e-05,,,,,lstm
27203,12,0.003709,0.00874,2.233023,0.00671,0.016738,0.04375,0.006505,0.013007,6.1e-05,,,,,lstm
27203,12,0.023033,0.011601,2.23308,0.00671,0.019193,0.184854,0.008973,0.04503,6.1e-05,,,,,lstm
27203,12,-0.002958,0.010916,2.233132,0.00671,0.016228,0.144319,0.004251,0.036462,6.1e-05,,,,,lstm
27203,12,-0.029421,0.011656,2.233181,0.00671,0.020337,0.109102,0.006982,0.029967,6.1e-05,,,,,lstm
27203,12,-0.051787,0.010054,2.233221,0.00671,0.014306,0.156538,0.012684,0.035415,6.1e-05,,,,,lstm
27203,12,-0.027717,0.010922,2.233269,0.00671,0.016791,0.129439,0.002979,0.024146,6.1e-05,,,,,lstm
27203,12,0.020988,0.010832,2.233322,0.00671,0.019746,0.190431,0.005534,0.036368,6.1e-05,,,,,lstm
27203,12,0.024931,0.008956,2.233372,0.00671,0.01178,0.070676,0.002313,0.014719,6.1e-05,,,,,lstm
36239,16,0.065758,0.009696,2.233427,0.006693,0.018011,0.316929,0.009512,0.077596,7.3e-05,,,,,lstm
36239,16,-0.09724,0.010591,2.233505,0.006693,0.014648,0.205366,0.021235,0.046846,7.3e-05,,,,,lstm
36239,16,0.015328,0.011648,2.233579,0.006693,0.016676,0.123562,0.002599,0.034718,7.3e-05,,,,,lstm
36239,16,-0.032689,0.010345,2.233646,0.006693,0.018063,0.23317,0.011954,0.04802,7.3e-05,,,,,lstm
36239,16,-0.025052,0.011692,2.233708,0.006693,0.015579,0.147652,0.005758,0.039776,7.3e-05,,,,,lstm
36239,16,-0.041864,0.009097,2.233764,0.006693,0.014107,0.139854,0.012523,0.038724,7.3e-05,,,,,lstm
36239,16,-0.036421,0.011019,2.233818,0.006693,0.015249,0.072007,0.005676,0.01975,7.3e-05,,,,,lstm
36239,16,-0.073046,0.010564,2.233858,0.006693,0.012979,0.187159,0.006214,0.044322,7.3e-05,,,,,lstm
36239,16,0.105964,0.012012,2.233903,0.006693,0.021543,0.091081,0.034589,0.031133,7.3e-05,,,,,lstm
36239,16,-0.026395,0.0105,2.233952,0.006693,0.017674,0.284902,0.00523,0.066532,7.3e-05,,,,,lstm
36239,16,0.007752,0.011466,2.234004,0.006693,0.017164,0.096821,0.008415,0.020543,7.3e-05,,,,,lstm
36239,16,-0.019956,0.010551,2.234064,0.006693,0.016548,0.153375,0.003852,0.041057,7.3e-05,,,,,lstm
36239,16,0.042048,0.010802,2.234121,0.006693,0.019254,0.309383,0.006172,0.061455,7.3e-05,,,,,lstm
36239,16,-0.0273,0.01025,2.234174,0.006693,0.013619,0.121036,0.012827,0.029481,7.3e-05,,,,,lstm
36239,16,-0.138827,0.009816,2.234227,0.006693,0.012169,0.039831,0.028252,0.020649,7.3e-05,,,,,lstm
36239,16,-0.005743,0.011001,2.234261,0.006693,0.014726,0.158145,0.011537,0.038362,7.3e-05,,,,,lstm
36239,16,0.030366,0.01014,2.234297,0.006693,0.017684,0.317704,0.010668,0.070216,7.3e-05,,,,,lstm
36239,16,-0.026269,0.010902,2.234334,0.006693,0.016421,0.050538,0.002764,0.014338,7.3e-05,,,,,lstm
36239,16,-0.036488,0.011811,2.234365,0.006693,0.018515,0.056905,0.010947,0.014578,7.3e-05,,,,,lstm
36239,16,-0.041514,0.008457,2.234383,0.006693,0.010724,0.084603,0.006285,0.019528,7.3e-05,,,,,lstm
44138,20,-0.016318,0.012181,2.234409,0.006677,0.021486,0.221014,0.004646,0.051408,8.5e-05,,,,,lstm
44138,20,0.065973,0.01002,2.234462,0.006677,0.018533,0.210855,0.013179,0.062229,8.5e-05,,,,,lstm
44138,20,-0.066151,0.011642,2.234522,0.006677,0.018292,0.299449,0.013273,0.068909,8.5e-05,,,,,lstm
44138,20,0.045621,0.01069,2.234581,0.006677,0.019328,0.415395,0.021643,0.106053,8.5e-05,,,,,lstm
44138,20,-0.016907,0.009619,2.234659,0.006677,0.020232,0.054762,0.009028,0.018248,8.5e-05,,,,,lstm
44138,20,0.017392,0.010793,2.234751,0.006677,0.019089,0.455709,0.016455,0.108908,8.5e-05,,,,,lstm
44138,20,0.016735,0.012291,2.234843,0.006677,0.02367,0.510349,0.003862,0.119861,8.5e-05,,,,,lstm
44138,20,0.009378,0.011485,2.234941,0.006677,0.016898,0.505581,0.003477,0.113421,8.5e-05,,,,,lstm
44138,20,0.051951,0.009931,2.235025,0.006677,0.017637,0.254109,0.008568,0.063212,8.5e-05,,,,,lstm
44138,20,-0.000971,0.013467,2.235106,0.006677,0.025654,0.444642,0.027481,0.102582,8.5e-05,,,,,lstm
44138,20,-0.05592,0.010674,2.235203,0.006677,0.020253,0.084237,0.034189,0.047927,8.5e-05,,,,,lstm
44138,20,0.036493,0.011398,2.235302,0.006677,0.01699,0.296373,0.007134,0.078025,8.5e-05,,,,,lstm
44138,20,0.131821,0.011148,2.235409,0.006677,0.022803,0.50153,0.030882,0.136262,8.5e-05,,,,,lstm
44138,20,-0.006986,0.011403,2.235524,0.006677,0.018434,0.180725,0.016191,0.034838,8.5e-05,,,,,lstm
