global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
884,4,-0.016062,0.020327,2.332773,0.006742,0.131512,0.135949,0.131781,0.310007,3.7e-05,,,,,lstm
884,4,-0.017387,0.019954,2.332773,0.006742,0.129666,0.736223,0.130684,0.820259,3.7e-05,,,,,lstm
884,4,-0.015456,0.019625,2.332772,0.006742,0.13036,0.167287,0.089675,0.17869,3.7e-05,,,,,lstm
884,4,-0.015471,0.019501,2.332772,0.006742,0.131464,0.242187,0.051285,0.444923,3.7e-05,,,,,lstm
3153,8,0.043142,0.009855,2.332773,0.006726,0.07086,0.301115,0.10706,0.426341,4.9e-05,,,,,lstm
3153,8,-0.557912,0.018311,2.332776,0.006726,0.10698,0.642798,0.281469,0.703612,4.9e-05,,,,,lstm
3153,8,-0.004135,0.010621,2.33281,0.006726,0.071448,0.197229,0.076293,0.268221,4.9e-05,,,,,lstm
3153,8,-0.117473,0.004503,2.332847,0.006726,0.051023,0.910712,0.075619,0.731933,4.9e-05,,,,,lstm
3153,8,0.011316,0.009231,2.332887,0.006726,0.067335,0.35481,0.034066,0.296392,4.9e-05,,,,,lstm
3153,8,-0.269422,0.012765,2.332927,0.006726,0.082829,1.140349,0.127576,1.861207,4.9e-05,,,,,lstm
3153,8,0.009303,0.00906,2.332966,0.006726,0.069659,0.675624,0.025972,0.579418,4.9e-05,,,,,lstm
3153,8,-0.243854,0.011709,2.333004,0.006726,0.076089,0.249087,0.087248,0.482419,4.9e-05,,,,,lstm
3889,12,-0.017418,0.021636,2.333045,0.00671,0.101218,0.464043,0.140047,0.533257,6.1e-05,,,,,lstm
3889,12,-0.016415,0.021181,2.3331,0.00671,0.101795,0.357816,0.099902,0.277575,6.1e-05,,,,,lstm
3889,12,-0.015873,0.020914,2.333159,0.00671,0.103734,0.386156,0.060891,0.213786,6.1e-05,,,,,lstm
3889,12,-0.01615,0.020802,2.333216,0.00671,0.106081,0.583586,0.0377,0.41601,6.1e-05,,,,,lstm
4876,16,-0.013218,0.019349,2.333267,0.006693,0.131728,0.418714,0.067764,0.282407,7.3e-05,,,,,lstm
4876,16,-0.012315,0.01949,2.333339,0.006693,0.133026,0.270739,0.086713,0.273482,7.3e-05,,,,,lstm
4876,16,-0.011677,0.019661,2.333418,0.006693,0.134479,0.150716,0.104495,0.243941,7.3e-05,,,,,lstm
4876,16,-0.011907,0.019734,2.333495,0.006693,0.135278,0.439003,0.115837,0.331758,7.3e-05,,,,,lstm
5751,20,-0.026571,0.021106,2.333567,0.006677,0.132236,0.342923,0.099718,0.441145,8.5e-05,,,,,lstm
5751,20,-0.025619,0.020971,2.33364,0.006677,0.131686,0.335389,0.101539,0.451056,8.5e-05,,,,,lstm
5751,20,-0.024264,0.020859,2.333701,0.006677,0.131501,0.334121,0.106029,0.511696,8.5e-05,,,,,lstm
5751,20,-0.023112,0.020767,2.333756,0.006677,0.131681,0.284104,0.113636,0.505059,8.5e-05,,,,,lstm
6379,24,-0.04938,0.020302,2.333801,0.006661,0.109556,0.928282,0.179365,1.38624,9.7e-05,,,,,lstm
6379,24,-0.045248,0.019856,2.33386,0.006661,0.10954,0.528397,0.145587,0.624189,9.7e-05,,,,,lstm
6379,24,-0.045572,0.019461,2.33393,0.006661,0.110374,0.441848,0.09708,0.968553,9.7e-05,,,,,lstm
6379,24,-0.047527,0.019227,2.334011,0.006661,0.111017,0.752263,0.062002,1.312936,9.7e-05,,,,,lstm
8019,28,-0.022369,0.010726,2.334094,0.006645,0.078814,0.82811,0.075704,1.196052,0.0001,,,,,lstm
8019,28,-0.019983,0.010967,2.334191,0.006645,0.082017,0.747882,0.098505,0.994604,0.0001,,,,,lstm
8019,28,-0.01667,0.01136,2.3343,0.006645,0.085475,0.24729,0.121744,0.318661,0.0001,,,,,lstm
8019,28,-0.017352,0.011801,2.334424,0.006645,0.08858,0.585528,0.141266,0.651068,0.0001,,,,,lstm
8662,32,-0.050723,0.019202,2.334554,0.006629,0.105943,0.276121,0.041167,0.37256,0.0001,,,,,lstm
8662,32,-0.050548,0.019049,2.334672,0.006629,0.105727,0.363266,0.037688,0.579425,0.0001,,,,,lstm
8662,32,-0.049543,0.018888,2.334778,0.006629,0.104933,0.386757,0.040156,0.701552,0.0001,,,,,lstm
8662,32,-0.047707,0.018738,2.334867,0.006629,0.103816,0.177396,0.047937,0.355801,0.0001,,,,,lstm
10889,36,-0.023615,0.010078,2.334946,0.006612,0.077625,0.154514,0.166475,0.214151,0.0001,,,,,lstm
10889,36,0.124908,0.005492,2.335007,0.006612,0.057223,0.354416,0.155228,1.085664,0.0001,,,,,lstm
10889,36,0.028873,0.008313,2.335054,0.006612,0.068978,0.189228,0.14111,0.263066,0.0001,,,,,lstm
10889,36,-0.406652,0.015593,2.335092,0.006612,0.062043,0.45994,0.041194,2.234292,0.0001,,,,,lstm
10889,36,-0.018077,0.008676,2.335073,0.006612,0.062367,0.440388,0.091386,0.302718,0.0001,,,,,lstm
10889,36,0.089903,0.006935,2.335047,0.006612,0.072781,1.242495,0.079851,1.267402,0.0001,,,,,lstm
10889,36,0.011072,0.008469,2.335027,0.006612,0.06308,0.469269,0.066677,0.41602,0.0001,,,,,lstm
10889,36,-0.170542,0.006446,2.335,0.006612,0.050929,0.561232,0.036115,0.325612,0.0001,,,,,lstm
12204,40,-0.023341,0.013922,2.334965,0.006596,0.097765,0.281149,0.123061,0.344931,0.0001,,,,,lstm
12204,40,-0.022712,0.013652,2.33493,0.006596,0.095335,0.262737,0.1106,0.457299,0.0001,,,,,lstm
12204,40,-0.022896,0.013373,2.334899,0.006596,0.092481,0.417039,0.092145,0.764093,0.0001,,,,,lstm
12204,40,-0.021961,0.013121,2.334866,0.006596,0.089327,0.378335,0.068798,0.718871,0.0001,,,,,lstm
12825,44,-0.087166,0.020038,2.334832,0.00658,0.09971,0.392529,0.251482,0.411332,0.0001,,,,,lstm
12825,44,-0.08651,0.020476,2.33482,0.00658,0.100965,0.446505,0.266048,0.352875,0.0001,,,,,lstm
12825,44,-0.085374,0.020477,2.334826,0.00658,0.101123,0.54927,0.266147,0.391314,0.0001,,,,,lstm
12825,44,-0.083361,0.020063,2.334849,0.00658,0.100544,0.465235,0.252189,0.335345,0.0001,,,,,lstm
13492,48,-0.020766,0.024351,2.334888,0.006564,0.134455,0.442334,0.073278,1.637774,0.0001,,,,,lstm
13492,48,-0.019674,0.024125,2.334934,0.006564,0.137088,0.296885,0.063846,1.264121,0.0001,,,,,lstm
13492,48,-0.018976,0.023951,2.334987,0.006564,0.140106,0.517212,0.066972,0.637134,0.0001,,,,,lstm
13492,48,-0.019454,0.023758,2.335042,0.006564,0.141909,0.90656,0.078784,0.609628,0.0001,,,,,lstm
14154,52,-0.062106,0.020426,2.335098,0.006548,0.109569,1.252533,0.068816,1.865378,0.0001,,,,,lstm
14154,52,-0.05664,0.020319,2.335154,0.006548,0.112166,0.953156,0.045833,1.394487,0.0001,,,,,lstm
14154,52,-0.051505,0.020388,2.335212,0.006548,0.115564,0.466135,0.022567,0.67692,0.0001,,,,,lstm
