global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
523,4,-0.089047,0.069412,1.781029,0.004994,0.194518,0.268042,0.500237,0.0,3.7e-05,,,,,none
523,4,-0.088546,0.065811,1.781029,0.004994,0.17584,0.271713,0.435062,0.0,3.7e-05,,,,,none
523,4,-0.088015,0.062842,1.781029,0.004994,0.159112,0.275779,0.371233,0.0,3.7e-05,,,,,none
523,4,-0.08756,0.060488,1.781029,0.004994,0.14494,0.127141,0.309132,0.0,3.7e-05,,,,,none
1506,8,-0.013149,0.02113,1.781025,0.004982,0.102001,0.489467,0.032985,0.0,4.9e-05,,,,,none
1506,8,-0.012042,0.021289,1.78103,0.004982,0.102714,0.492073,0.047948,0.0,4.9e-05,,,,,none
1506,8,-0.011004,0.021778,1.781042,0.004982,0.105711,0.235443,0.093712,0.0,4.9e-05,,,,,none
1506,8,-0.011786,0.022323,1.781054,0.004982,0.109152,0.90452,0.129135,0.0,4.9e-05,,,,,none
2381,12,-0.032291,0.026435,1.781062,0.00497,0.085181,0.448996,0.084874,0.0,6.1e-05,,,,,none
2381,12,-0.031564,0.026174,1.781043,0.00497,0.082577,0.449754,0.049491,0.0,6.1e-05,,,,,none
2381,12,-0.030427,0.026102,1.781008,0.00497,0.081952,0.36939,0.016931,0.0,6.1e-05,,,,,none
2381,12,-0.029615,0.026203,1.780962,0.00497,0.08257,0.141729,0.025935,0.0,6.1e-05,,,,,none
2947,16,-0.071487,0.043811,1.780904,0.004958,0.101736,0.426127,0.115231,0.0,7.3e-05,,,,,none
2947,16,-0.070323,0.043412,1.780841,0.004958,0.099043,0.412097,0.076555,0.0,7.3e-05,,,,,none
2947,16,-0.06912,0.043234,1.780783,0.004958,0.097833,0.125008,0.039018,0.0,7.3e-05,,,,,none
