global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1124,4,-0.017142,0.016547,2.362646,0.006742,0.101616,0.57958,0.099371,0.153377,3.7e-05,,,,,lstm
1124,4,-0.015276,0.016491,2.362572,0.006742,0.10114,0.575233,0.095172,0.152913,3.7e-05,,,,,lstm
1124,4,-0.014308,0.016436,2.362498,0.006742,0.100738,0.203871,0.091468,0.066971,3.7e-05,,,,,lstm
1124,4,-0.014972,0.016281,2.362441,0.006742,0.099075,0.638352,0.076926,0.175308,3.7e-05,,,,,lstm
1937,8,-0.026457,0.022561,2.362396,0.006726,0.097603,0.396889,0.096909,0.096868,4.9e-05,,,,,lstm
1937,8,-0.026295,0.022602,2.362327,0.006726,0.097013,0.397461,0.107761,0.098991,4.9e-05,,,,,lstm
1937,8,-0.025986,0.022599,2.362258,0.006726,0.097043,0.397127,0.106693,0.099121,4.9e-05,,,,,lstm
1937,8,-0.025573,0.02256,2.36219,0.006726,0.097481,0.396731,0.097601,0.098043,4.9e-05,,,,,lstm
2550,12,-0.061921,0.025608,2.362125,0.00671,0.11838,0.664577,0.19106,0.18128,6.1e-05,,,,,lstm
2550,12,-0.060697,0.025268,2.362065,0.00671,0.119066,0.658237,0.16374,0.176048,6.1e-05,,,,,lstm
2550,12,-0.059558,0.024955,2.362019,0.00671,0.120205,0.189638,0.1311,0.066424,6.1e-05,,,,,lstm
2550,12,-0.060519,0.024745,2.36199,0.00671,0.121834,1.059223,0.096234,0.233253,6.1e-05,,,,,lstm
3886,16,-0.011908,0.016861,2.361984,0.006693,0.102163,0.253711,0.158497,0.089416,7.3e-05,,,,,lstm
3886,16,-0.011974,0.017169,2.361982,0.006693,0.104833,0.255026,0.176442,0.093295,7.3e-05,,,,,lstm
3886,16,-0.011909,0.017217,2.361983,0.006693,0.105308,0.256849,0.181175,0.09458,7.3e-05,,,,,lstm
3886,16,-0.011734,0.017029,2.361987,0.006693,0.103858,0.253679,0.174645,0.092715,7.3e-05,,,,,lstm
4667,20,-0.009965,0.018758,2.361993,0.006677,0.103656,0.427927,0.045729,0.100557,8.5e-05,,,,,lstm
4667,20,-0.009772,0.018594,2.362004,0.006677,0.102059,0.425174,0.030131,0.10058,8.5e-05,,,,,lstm
4667,20,-0.009362,0.018468,2.362016,0.006677,0.100571,0.424674,0.017413,0.102204,8.5e-05,,,,,lstm
4667,20,-0.008763,0.018373,2.36203,0.006677,0.099281,0.41061,0.012526,0.100772,8.5e-05,,,,,lstm
5164,24,-0.07649,0.03346,2.362046,0.006661,0.132214,0.459847,0.332043,0.181023,9.7e-05,,,,,lstm
5164,24,-0.075455,0.032812,2.362096,0.006661,0.130875,0.46234,0.310696,0.176688,9.7e-05,,,,,lstm
5164,24,-0.074284,0.031897,2.36217,0.006661,0.129333,0.159302,0.272642,0.104182,9.7e-05,,,,,lstm
5164,24,-0.07529,0.030979,2.362269,0.006661,0.128541,1.169159,0.223881,0.251926,9.7e-05,,,,,lstm
5820,28,-0.058731,0.025688,2.362378,0.006645,0.115033,0.558741,0.050149,0.110703,0.0001,,,,,lstm
