global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1254,4,-0.018221,0.022494,1.787001,0.004994,0.081223,0.197609,0.040797,0.0,3.7e-05,,,,,none
1254,4,-0.017463,0.022346,1.787075,0.004994,0.079487,0.055662,0.025127,0.0,3.7e-05,,,,,none
1254,4,-0.018008,0.022155,1.787145,0.004994,0.077466,0.93607,0.014683,0.0,3.7e-05,,,,,none
1254,4,-0.017131,0.02202,1.787202,0.004994,0.07625,0.08969,0.026405,0.0,3.7e-05,,,,,none
2595,8,-0.011728,0.024184,1.787261,0.004982,0.076751,0.69537,0.061533,0.0,4.9e-05,,,,,none
2595,8,-0.011295,0.02407,1.787301,0.004982,0.076091,0.697381,0.06001,0.0,4.9e-05,,,,,none
2595,8,-0.010053,0.023966,1.787314,0.004982,0.075525,0.696347,0.053211,0.0,4.9e-05,,,,,none
2595,8,-0.008771,0.02388,1.787307,0.004982,0.075255,0.10087,0.044104,0.0,4.9e-05,,,,,none
4211,12,-0.012699,0.018483,1.787291,0.00497,0.075801,0.151554,0.087062,0.0,6.1e-05,,,,,none
4211,12,-0.012807,0.018393,1.787295,0.00497,0.075317,0.150804,0.087646,0.0,6.1e-05,,,,,none
4211,12,-0.012795,0.018165,1.78731,0.00497,0.07345,0.176962,0.078579,0.0,6.1e-05,,,,,none
4211,12,-0.01272,0.017864,1.78733,0.00497,0.070807,0.319212,0.063433,0.0,6.1e-05,,,,,none
5442,16,-0.017893,0.023392,1.787356,0.004958,0.075876,0.479078,0.011654,0.0,7.3e-05,,,,,none
5442,16,-0.017116,0.02326,1.787394,0.004958,0.074957,0.47209,0.025891,0.0,7.3e-05,,,,,none
5442,16,-0.015899,0.02318,1.787429,0.004958,0.074346,0.270957,0.033062,0.0,7.3e-05,,,,,none
5442,16,-0.01663,0.023135,1.787458,0.004958,0.073934,0.853225,0.035423,0.0,7.3e-05,,,,,none
10089,20,0.028564,0.012519,1.787485,0.004946,0.04731,0.188443,0.008429,0.0,8.5e-05,,,,,none
10089,20,0.009297,0.00321,1.787507,0.004946,0.045758,0.227827,0.018644,0.0,8.5e-05,,,,,none
10089,20,-0.158795,0.006654,1.787537,0.004946,0.048156,0.701387,0.051061,0.0,8.5e-05,,,,,none
10089,20,-0.058999,0.012319,1.787562,0.004946,0.047718,0.260016,0.016942,0.0,8.5e-05,,,,,none
10089,20,0.030405,0.004866,1.787579,0.004946,0.047013,0.40917,0.007644,0.0,8.5e-05,,,,,none
10089,20,0.068645,0.001725,1.787605,0.004946,0.042936,0.228933,0.017176,0.0,8.5e-05,,,,,none
10089,20,0.040136,0.004925,1.787613,0.004946,0.046565,0.542892,0.018451,0.0,8.5e-05,,,,,none
10089,20,-0.021633,0.008328,1.787618,0.004946,0.04585,0.551494,0.005736,0.0,8.5e-05,,,,,none
10089,20,-0.092259,0.015299,1.787622,0.004946,0.051392,0.244607,0.031471,0.0,8.5e-05,,,,,none
10089,20,-0.089696,0.008505,1.787627,0.004946,0.043948,0.312358,0.015075,0.0,8.5e-05,,,,,none
10089,20,0.181732,0.005978,1.787627,0.004946,0.046667,0.35721,0.040663,0.0,8.5e-05,,,,,none
10089,20,-0.344351,0.010803,1.787636,0.004946,0.056246,0.207887,0.0609,0.0,8.5e-05,,,,,none
10797,24,-0.047847,0.038689,1.787656,0.004934,0.085147,0.566781,0.201605,0.0,9.7e-05,,,,,none
10797,24,-0.046619,0.038476,1.787662,0.004934,0.081917,0.556707,0.176559,0.0,9.7e-05,,,,,none
10797,24,-0.045467,0.038266,1.787653,0.004934,0.078289,0.491985,0.140177,0.0,9.7e-05,,,,,none
10797,24,-0.045589,0.038222,1.787626,0.004934,0.075678,0.783214,0.093458,0.0,9.7e-05,,,,,none
13193,28,-0.001825,0.010698,1.787588,0.004922,0.053362,0.651731,0.021358,0.0,0.0001,,,,,none
13193,28,-0.010897,0.011996,1.787562,0.004922,0.0534,0.618245,0.066903,0.0,0.0001,,,,,none
13193,28,0.054143,0.011114,1.787542,0.004922,0.063443,0.517297,0.113212,0.0,0.0001,,,,,none
