episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,538,99.2043,99.2043,538,0,0,1,0,2.691,2.084,collision,5.5,0.099042,0.413069,-0.851162,0.851638,5.011369,1.001151,0.883958,5.994006,0.384077,0.387662,-0.921675,1.0,,,,,,,,,,,,,,0,lstm
2,653,-17.0041,41.1001,115,0,0,1,0,3.7605,2.008,collision,6.7,-0.35967,0.29971,-0.871185,0.60242,5.293783,0.805202,1.408489,5.98789,0.389004,0.390594,-0.658092,1.007656,,,,,,,,,,,,,,0,lstm
3,781,-6.6875,25.1709,128,0,0,1,0,3.6181,2.167,collision,8.0,-0.117771,0.37102,-0.773509,0.755692,5.243221,0.800723,1.437982,5.988463,0.42537,0.398526,-0.17272,1.0,,,,,,,,,,,,,,0,lstm
4,926,-3.0931,18.1049,145,0,0,1,0,3.5524,2.154,collision,10.4,-0.011128,0.384258,-0.816458,0.733973,5.221702,0.810125,2.24559,5.998173,0.391151,0.379167,-0.315142,1.0,-0.044992,0.040615,1.811912,0.006742,0.125556,0.22403,0.108215,0.176178,3.7e-05,,,,,0,lstm
5,1059,-5.3643,13.4111,133,0,0,1,0,3.5833,2.171,collision,11.8,-0.066058,0.365544,-0.8731,0.724377,5.176339,0.874502,1.407305,5.989555,0.409447,0.388353,-0.221385,1.0,,,,,,,,,,,,,,0,lstm
6,1194,-5.3156,10.2899,135,0,0,1,0,3.6504,2.092,collision,13.1,-0.183312,0.374149,-0.80529,0.678785,5.108613,0.959234,1.472527,5.993682,0.420278,0.396787,-0.281724,1.0,,,,,,,,,,,,,,0,lstm
7,1320,-9.6205,7.4456,126,0,0,1,0,3.6115,2.075,collision,14.4,-0.219768,0.380083,-0.837603,0.712416,5.208487,0.82725,1.998766,5.996032,0.419452,0.401084,-0.471011,1.0,,,,,,,,,,,,,,0,lstm
8,1464,-1.6146,6.3131,144,0,0,1,0,3.5657,2.149,collision,16.3,-0.132917,0.367515,-0.807939,0.761209,5.097402,0.98034,1.266996,5.990246,0.417358,0.394656,-0.250712,1.0,-0.120795,0.055576,1.811868,0.006726,0.154712,0.322433,0.157818,0.229674,4.9e-05,,,,,0,lstm
9,1629,-6.4544,4.8945,165,0,0,1,0,3.6431,2.055,collision,17.9,0.170299,0.394982,-0.847457,0.840812,4.858346,1.167391,0.375866,5.987531,0.390043,0.391703,-0.688725,1.002813,,,,,,,,,,,,,,0,lstm
10,2282,161.8611,20.5911,653,0,0,1,0,2.2358,2.121,collision,24.3,-0.071464,0.403714,-0.832189,0.853721,5.115236,0.973908,0.56326,5.989186,0.383993,0.38903,-0.7031,1.0,,,,,,,,,,,,,,0,lstm
11,2404,-12.7132,9.3994,122,0,0,1,0,3.6139,2.027,collision,25.5,-0.310614,0.341589,-0.874971,0.635493,5.182631,0.97741,1.169842,5.988004,0.403032,0.388682,-0.607527,1.0,,,,,,,,,,,,,,0,lstm
12,2548,-1.8407,10.9157,144,0,0,1,0,3.5556,2.123,collision,27.3,-0.134802,0.387027,-0.793201,0.815721,5.284712,0.676646,2.563648,5.985093,0.418033,0.394492,-0.302556,1.0,-0.020737,0.024822,1.811686,0.00671,0.110068,0.214495,0.02098,0.101404,6.1e-05,,,,,0,lstm
13,2685,-3.8783,11.1966,137,0,0,1,0,3.6423,2.101,collision,28.7,-0.114761,0.396358,-0.7571,0.711094,5.140969,0.935327,1.094506,5.997789,0.412397,0.39217,-0.197354,1.000772,,,,,,,,,,,,,,0,lstm
14,2817,-5.5762,10.9483,132,0,0,1,0,3.6454,2.117,collision,29.9,-0.070853,0.392931,-0.80363,0.78171,4.96418,1.05213,1.074647,5.967209,0.410973,0.389147,-0.17432,1.0,,,,,,,,,,,,,,0,lstm
15,2952,-5.1956,10.9652,135,0,0,1,0,3.5631,2.011,collision,31.3,-0.172345,0.421426,-0.803427,0.749111,5.015516,1.088741,0.810707,5.969222,0.418588,0.394269,-0.345829,1.0,,,,,,,,,,,,,,0,lstm
16,3083,-7.177,10.7791,131,0,0,1,0,3.6523,2.138,collision,33.0,-0.19039,0.353055,-0.861422,0.799107,5.184817,0.888376,1.875912,5.989872,0.416224,0.393769,-0.400189,1.0,-0.098979,0.054498,1.811486,0.006693,0.118489,0.229857,0.073411,0.145418,7.3e-05,,,,,0,lstm
17,3200,-15.408,10.2003,117,0,0,1,0,3.7281,2.056,collision,34.2,-0.284816,0.339055,-0.871856,0.721609,5.239731,0.921888,1.213669,5.993343,0.394706,0.391614,-0.586207,1.00354,,,,,,,,,,,,,,0,lstm
18,3337,-4.9851,9.8633,137,0,0,1,0,3.5981,2.124,collision,35.7,0.041002,0.395827,-0.780576,0.793412,5.131024,0.948106,1.179815,5.986199,0.395997,0.38295,-0.362498,1.0,,,,,,,,,,,,,,0,lstm
19,3487,-0.2077,10.4879,150,0,0,1,0,3.5191,2.15,collision,37.3,0.010985,0.391458,-0.82164,0.759525,4.915382,0.938176,1.892347,5.985219,0.390995,0.382127,-0.325847,1.0,,,,,,,,,,,,,,0,lstm
20,3626,-3.2097,-6.0192,139,0,0,1,0,3.605,2.148,collision,39.1,-0.138153,0.364744,-0.82044,0.716645,5.20203,0.853284,1.795115,5.990673,0.41768,0.395447,-0.241888,1.0,-0.079414,0.047073,1.811558,0.006677,0.10678,0.180342,0.034234,0.118066,8.5e-05,,,,,0,lstm
21,3766,-3.1057,-5.0584,140,0,0,1,0,3.5701,2.16,collision,40.5,-0.112443,0.368958,-0.829426,0.818744,5.157205,0.928594,1.382847,5.994506,0.407937,0.386741,-0.253787,1.0,,,,,,,,,,,,,,0,lstm
22,3931,-5.0498,-5.3793,165,0,0,1,0,3.6505,2.068,collision,42.2,0.14875,0.390912,-0.793306,0.789083,4.832839,1.165429,0.483011,5.988321,0.398797,0.397109,-0.727265,1.009656,,,,,,,,,,,,,,0,lstm
23,4079,-0.9045,-5.0819,148,0,0,1,0,3.6106,2.118,collision,43.7,-0.042302,0.397324,-0.814992,0.79655,5.076644,1.051796,0.81954,5.985865,0.406062,0.391893,-0.308466,1.000438,,,,,,,,,,,,,,0,lstm
24,4226,-1.3274,-4.6571,147,0,0,1,0,3.5392,2.118,collision,45.6,-0.025681,0.409635,-0.766963,0.843886,5.103344,0.95264,1.415662,5.993662,0.396832,0.38428,-0.274681,1.0,-0.065491,0.045194,1.811717,0.006661,0.096918,0.36225,0.019866,0.217333,9.7e-05,,,,,0,lstm
25,4349,-9.9508,-5.1326,123,0,0,1,0,3.7149,2.1,collision,46.8,-0.200005,0.361794,-0.807808,0.73743,5.087149,1.040444,0.953945,5.983687,0.407506,0.389399,-0.406306,1.008502,,,,,,,,,,,,,,0,lstm
26,4470,-11.8592,-5.6008,121,0,0,1,0,3.7159,2.061,collision,48.0,-0.244592,0.376916,-0.862321,0.706251,5.045059,0.897004,2.09181,5.9891,0.411399,0.398489,-0.507048,1.00542,,,,,,,,,,,,,,0,lstm
27,4616,-7.8942,-4.8494,146,0,0,1,0,3.6038,2.065,collision,49.4,0.173474,0.38457,-0.796194,0.814995,4.634449,1.225844,0.805198,5.986785,0.391567,0.389409,-0.698477,1.0,,,,,,,,,,,,,,0,lstm
28,4761,-2.5334,-4.6043,145,0,0,1,0,3.5509,2.113,collision,51.2,0.05866,0.396912,-0.782654,0.759383,5.137343,0.944728,1.52533,5.979763,0.392436,0.383845,-0.358514,1.0,-0.074374,0.049301,1.811825,0.006645,0.098022,0.429951,0.023043,0.279436,0.0001,,,,,0,lstm
29,4935,2.2008,-4.3634,174,0,0,1,0,3.5771,2.08,collision,53.0,0.070245,0.412625,-0.829599,0.797292,4.8879,1.132999,0.531071,5.97512,0.387221,0.388535,-0.545964,1.000665,,,,,,,,,,,,,,0,lstm
30,5098,-2.7893,-4.3214,163,0,0,1,0,3.5294,2.113,collision,54.6,0.127664,0.374076,-0.722108,0.816627,4.714773,1.231003,1.063234,5.991033,0.372487,0.378397,-0.574062,1.0,,,,,,,,,,,,,,0,lstm
