global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
2566,4,0.018852,0.013824,1.687091,0.004994,0.049271,0.081295,0.041929,0.05574,3.7e-05,,,,,gru
2566,4,-0.041192,0.011107,1.687091,0.004994,0.053031,0.121583,0.042911,0.081475,3.7e-05,,,,,gru
2566,4,0.021863,0.013125,1.687034,0.004994,0.050667,0.065457,0.028942,0.046346,3.7e-05,,,,,gru
2566,4,-0.047439,0.010796,1.686975,0.004994,0.060635,0.246689,0.029921,0.142087,3.7e-05,,,,,gru
2566,4,-0.057346,0.015472,1.686936,0.004994,0.064958,0.093403,0.029912,0.061207,3.7e-05,,,,,gru
2566,4,0.241421,0.000964,1.686895,0.004994,0.028947,0.043255,0.013664,0.023054,3.7e-05,,,,,gru
2566,4,-0.041023,0.014771,1.686862,0.004994,0.064222,0.033524,0.024053,0.029098,3.7e-05,,,,,gru
2566,4,0.18341,0.002638,1.686843,0.004994,0.042215,0.098117,0.010782,0.050276,3.7e-05,,,,,gru
4574,8,-0.009777,0.013265,1.686827,0.004982,0.055643,0.100203,0.041572,0.070487,4.9e-05,,,,,gru
4574,8,-0.009624,0.013038,1.686798,0.004982,0.056287,0.099368,0.038426,0.068339,4.9e-05,,,,,gru
4574,8,-0.009425,0.012783,1.686763,0.004982,0.057608,0.098307,0.034389,0.065864,4.9e-05,,,,,gru
4574,8,-0.009189,0.012536,1.686723,0.004982,0.059602,0.097083,0.029969,0.063468,4.9e-05,,,,,gru
