episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,1088,251.1581,251.1581,1088,0,0,1,0,1.3492,2.147,collision,9.7,-0.066339,0.385473,-0.821095,0.835985,5.218567,0.864622,0.535339,5.995362,0.426639,0.412839,-0.920458,1.000073,,,,,,,,,,,,,,0,none
2,1445,71.0833,161.1207,357,0,0,1,0,3.0625,2.141,collision,12.8,-0.031024,0.389685,-0.817803,0.82679,5.040587,0.946843,0.566051,5.993694,0.37416,0.38263,-0.370319,1.002871,,,,,,,,,,,,,,0,none
3,3945,9.6787,110.64,2500,0,0,0,1,1.3428,2.097,max_steps,34.8,0.078332,0.42277,-0.838248,0.890453,5.15341,0.933196,0.1799,5.998702,0.344883,0.417525,-1.0,1.0,,,,,,,,,,,,,,0,none
4,4902,202.4249,133.5863,957,0,0,1,0,1.8102,2.171,collision,44.3,-0.051923,0.372229,-0.815451,0.777059,5.263925,0.786891,0.553152,5.997609,0.433591,0.420386,-0.968723,1.004677,0.010714,0.004896,1.628141,0.004994,0.062508,0.14883,0.011735,0.0,3.7e-05,,,,,0,none
5,5240,61.1883,119.1067,338,0,0,1,0,3.0653,2.114,collision,47.3,0.015885,0.413645,-0.844217,0.829743,5.10551,0.908667,0.785496,5.984575,0.354286,0.380197,-0.499818,1.0,,,,,,,,,,,,,,0,none
6,5602,72.3789,111.3187,362,0,0,1,0,3.0416,2.169,collision,50.4,0.062672,0.369334,-0.796955,0.790263,4.88105,1.074271,0.79953,5.983766,0.39017,0.388039,-0.45853,1.00551,,,,,,,,,,,,,,0,none
7,5936,59.6138,103.9323,334,0,0,1,0,3.043,2.088,collision,53.4,0.065358,0.428029,-0.846773,0.846713,5.042904,0.963276,1.118904,5.989509,0.35481,0.382664,-0.478152,1.0,,,,,,,,,,,,,,0,none
8,5987,-37.8574,86.2086,51,0,0,1,0,3.7962,2.03,collision,54.1,-0.317814,0.322817,-0.807845,0.471779,5.167129,1.055255,1.798888,5.98566,0.240423,0.332239,-0.617452,1.0,0.000391,0.015912,1.627773,0.004982,0.085927,0.152913,0.054211,0.0,4.9e-05,,,,,0,none
9,6353,71.4407,84.5677,366,0,0,1,0,3.0785,2.119,collision,57.4,0.083315,0.390989,-0.824605,0.854011,4.880695,1.085862,0.512105,5.980556,0.396178,0.392259,-0.591733,1.009404,,,,,,,,,,,,,,0,none
10,6724,72.0073,83.3117,371,0,0,1,0,3.0675,2.1,collision,60.7,0.088372,0.400349,-0.82069,0.849583,4.852907,1.105507,0.870267,5.992913,0.400136,0.394216,-0.673751,1.008537,,,,,,,,,,,,,,0,none
11,7071,64.7039,64.6663,347,0,0,1,0,3.0598,2.115,collision,63.7,-0.020911,0.414421,-0.828886,0.819112,5.032413,0.957044,0.569989,5.992621,0.360879,0.381505,-0.46825,1.0,,,,,,,,,,,,,,0,none
12,8019,184.422,76.0001,948,0,0,1,0,1.8536,2.153,collision,72.2,-0.067592,0.384405,-0.824117,0.821767,5.280993,0.81618,0.461453,5.996815,0.436167,0.424804,-0.993521,1.0,0.097329,0.005093,1.627468,0.00497,0.050149,0.395539,0.032567,0.0,6.1e-05,,,,,0,none
13,8381,72.4557,82.2778,362,0,0,1,0,2.9768,2.114,collision,75.5,0.055741,0.405146,-0.815636,0.810816,4.925704,1.060222,0.931697,5.977541,0.383803,0.387545,-0.408995,1.0,,,,,,,,,,,,,,0,none
14,9343,212.387,83.274,962,0,0,1,0,1.7739,2.156,collision,83.8,-0.03447,0.385364,-0.81169,0.859598,5.181934,0.899651,0.576445,5.993347,0.429112,0.416299,-0.978215,1.000679,,,,,,,,,,,,,,0,none
15,9701,70.443,84.1995,358,0,0,1,0,3.0292,2.127,collision,87.0,-0.049272,0.394323,-0.862803,0.754364,5.007963,0.997515,0.639493,5.986235,0.374423,0.385381,-0.409232,1.0,,,,,,,,,,,,,,0,none
16,10782,252.5947,102.2211,1081,0,0,1,0,1.3713,2.14,collision,97.1,-0.077999,0.387901,-0.864761,0.818048,5.204908,0.879038,0.534385,5.99183,0.429941,0.412881,-0.937365,1.001431,0.036676,0.006603,1.627107,0.004958,0.056085,0.214511,0.01795,0.0,7.3e-05,,,,,0,none
17,11114,55.2477,101.7845,332,0,0,1,0,3.1193,2.098,collision,100.0,0.066172,0.416044,-0.827469,0.851304,5.001645,0.961867,1.674158,5.982895,0.339071,0.377194,-0.618783,1.0,,,,,,,,,,,,,,0,none
18,11458,63.6313,111.9333,344,0,0,1,0,3.0807,2.101,collision,103.1,0.006951,0.404077,-0.863057,0.768971,4.865397,1.07801,0.560542,5.9811,0.35758,0.377744,-0.463465,1.0,,,,,,,,,,,,,,0,none
19,11822,74.7792,112.2672,364,0,0,1,0,3.026,2.164,collision,106.3,0.023566,0.374397,-0.857931,0.87236,4.891893,1.075442,0.879935,5.988677,0.390156,0.387228,-0.322425,1.004639,,,,,,,,,,,,,,0,none
20,12185,73.2721,112.3937,363,0,0,1,0,3.0482,2.151,collision,109.8,0.009393,0.374163,-0.828677,0.833246,4.874226,1.072128,0.282253,5.9906,0.3828,0.383943,-0.323699,1.006357,-0.007946,0.011094,1.626912,0.004946,0.074733,0.253212,0.03091,0.0,8.5e-05,,,,,0,none
21,13279,259.3022,131.8535,1094,0,0,1,0,1.357,2.119,collision,119.4,-0.026391,0.405696,-0.861067,0.832509,5.104805,0.937398,0.469017,5.987665,0.401935,0.400495,-0.875537,1.0,,,,,,,,,,,,,,0,none
