global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
507,4,-0.14765,0.074538,1.717376,0.004994,0.211497,0.319612,0.29969,0.391171,3.7e-05,,,,,gru
507,4,-0.146059,0.070103,1.717376,0.004994,0.194845,0.325853,0.274253,0.370545,3.7e-05,,,,,gru
507,4,-0.144593,0.066139,1.717376,0.004994,0.178823,0.252118,0.249489,0.318044,3.7e-05,,,,,gru
507,4,-0.144088,0.062562,1.717375,0.004994,0.163399,0.228193,0.225128,0.244675,3.7e-05,,,,,gru
1476,8,-0.015769,0.029914,1.717375,0.004982,0.1236,0.198422,0.048366,0.125428,4.9e-05,,,,,gru
1476,8,-0.015333,0.029281,1.717372,0.004982,0.123884,0.200309,0.032057,0.123348,4.9e-05,,,,,gru
1476,8,-0.014452,0.029023,1.717367,0.004982,0.124544,0.194901,0.034433,0.121649,4.9e-05,,,,,gru
1476,8,-0.013538,0.02894,1.717361,0.004982,0.125405,0.158349,0.045634,0.108561,4.9e-05,,,,,gru
2009,12,-0.125314,0.05167,1.717358,0.00497,0.129556,0.14172,0.16957,0.178026,6.1e-05,,,,,gru
2009,12,-0.125516,0.049042,1.717344,0.00497,0.121341,0.143662,0.150338,0.16042,6.1e-05,,,,,gru
2009,12,-0.125307,0.046729,1.717324,0.00497,0.113766,0.146267,0.130641,0.14399,6.1e-05,,,,,gru
2009,12,-0.124774,0.044764,1.7173,0.00497,0.106673,0.149272,0.11085,0.129341,6.1e-05,,,,,gru
2568,16,-0.081895,0.045916,1.717272,0.004958,0.127505,0.150424,0.087758,0.124309,7.3e-05,,,,,gru
2568,16,-0.081726,0.044343,1.717247,0.004958,0.122602,0.147546,0.06433,0.105468,7.3e-05,,,,,gru
2568,16,-0.081405,0.043247,1.717229,0.004958,0.119653,0.154371,0.042035,0.095508,7.3e-05,,,,,gru
2568,16,-0.081079,0.042577,1.717215,0.004958,0.118056,0.203928,0.023571,0.118955,7.3e-05,,,,,gru
3115,20,-0.077586,0.037345,1.717202,0.004946,0.096008,0.324794,0.05833,0.166307,8.5e-05,,,,,gru
3115,20,-0.077127,0.036339,1.717185,0.004946,0.090581,0.319361,0.036267,0.156391,8.5e-05,,,,,gru
3115,20,-0.075976,0.035781,1.717168,0.004946,0.087986,0.293701,0.018218,0.132138,8.5e-05,,,,,gru
3115,20,-0.07552,0.035589,1.71715,0.004946,0.087528,0.24445,0.017263,0.097426,8.5e-05,,,,,gru
3950,24,0.000578,0.030038,1.71713,0.004934,0.106505,0.154603,0.100923,0.103208,9.7e-05,,,,,gru
3950,24,0.000944,0.030457,1.71711,0.004934,0.108671,0.143804,0.112973,0.108226,9.7e-05,,,,,gru
3950,24,0.001405,0.03055,1.717091,0.004934,0.109582,0.162408,0.119431,0.138738,9.7e-05,,,,,gru
3950,24,0.001182,0.030114,1.717072,0.004934,0.10805,0.443091,0.118898,0.276393,9.7e-05,,,,,gru
4512,28,-0.1362,0.028554,1.717054,0.004922,0.049596,0.398239,0.010031,0.231285,0.0001,,,,,gru
4512,28,-0.134841,0.027851,1.717059,0.004922,0.048791,0.402317,0.008021,0.232818,0.0001,,,,,gru
4512,28,-0.132831,0.027169,1.717084,0.004922,0.047943,0.328787,0.005707,0.191022,0.0001,,,,,gru
4512,28,-0.131898,0.026571,1.717129,0.004922,0.047192,0.377113,0.006208,0.219147,0.0001,,,,,gru
5062,32,-0.047686,0.035515,1.717194,0.00491,0.10128,0.272141,0.013697,0.162183,0.0001,,,,,gru
5062,32,-0.046451,0.03492,1.717235,0.00491,0.100451,0.255519,0.008225,0.147883,0.0001,,,,,gru
5062,32,-0.04574,0.03441,1.717254,0.00491,0.099603,0.271006,0.007068,0.131982,0.0001,,,,,gru
5062,32,-0.047006,0.03389,1.717249,0.00491,0.09882,0.448725,0.00966,0.251111,0.0001,,,,,gru
5850,36,-0.025545,0.026247,1.717235,0.004898,0.099058,0.350582,0.058751,0.183453,0.0001,,,,,gru
5850,36,-0.024641,0.025835,1.717221,0.004898,0.09839,0.348771,0.056484,0.182195,0.0001,,,,,gru
