global_step,episode,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,recurrent_cell
1080,4,-0.027289,0.016781,1.78324,0.004994,0.093515,0.14865,0.047852,0.104232,3.7e-05,,,,,gru
1080,4,-0.026016,0.016203,1.78324,0.004994,0.086561,0.168473,0.030929,0.094444,3.7e-05,,,,,gru
1080,4,-0.025449,0.01588,1.783239,0.004994,0.082583,0.166911,0.023282,0.092247,3.7e-05,,,,,gru
1080,4,-0.024872,0.015656,1.783239,0.004994,0.08043,0.106866,0.020858,0.057603,3.7e-05,,,,,gru
2444,8,-0.017792,0.014482,1.783238,0.004982,0.079998,0.08932,0.047812,0.070994,4.9e-05,,,,,gru
2444,8,-0.01755,0.014016,1.783266,0.004982,0.075307,0.088141,0.034291,0.05668,4.9e-05,,,,,gru
2444,8,-0.017474,0.01363,1.783311,0.004982,0.070139,0.132119,0.017248,0.076809,4.9e-05,,,,,gru
2444,8,-0.017335,0.013435,1.783365,0.004982,0.066352,0.141989,0.00489,0.079292,4.9e-05,,,,,gru
3592,12,-0.017186,0.017562,1.783426,0.00497,0.101452,0.202777,0.026995,0.108744,6.1e-05,,,,,gru
3592,12,-0.0168,0.017753,1.783479,0.00497,0.098864,0.204989,0.037404,0.113556,6.1e-05,,,,,gru
3592,12,-0.015834,0.017866,1.783518,0.00497,0.097794,0.149165,0.04353,0.086344,6.1e-05,,,,,gru
3592,12,-0.016208,0.017838,1.783543,0.00497,0.09731,0.382934,0.044635,0.229549,6.1e-05,,,,,gru
4916,16,-0.026776,0.015559,1.783558,0.004958,0.078649,0.47689,0.039637,0.296477,7.3e-05,,,,,gru
4916,16,-0.024756,0.01553,1.783569,0.004958,0.078118,0.474208,0.039168,0.293565,7.3e-05,,,,,gru
4916,16,-0.023064,0.015495,1.783576,0.004958,0.077624,0.223742,0.038403,0.158156,7.3e-05,,,,,gru
4916,16,-0.023892,0.015304,1.78358,0.004958,0.077349,0.397094,0.029299,0.272329,7.3e-05,,,,,gru
5835,20,-0.034543,0.019475,1.78358,0.004946,0.0908,0.386125,0.046053,0.206687,8.5e-05,,,,,gru
5835,20,-0.033309,0.019255,1.783594,0.004946,0.090932,0.388397,0.023928,0.200302,8.5e-05,,,,,gru
5835,20,-0.031289,0.019438,1.783619,0.004946,0.093119,0.177944,0.024674,0.09214,8.5e-05,,,,,gru
5835,20,-0.033162,0.019894,1.783643,0.004946,0.097045,0.881373,0.043585,0.462368,8.5e-05,,,,,gru
7459,24,-0.014884,0.011876,1.783666,0.004934,0.084543,0.152151,0.06448,0.122966,9.7e-05,,,,,gru
7459,24,-0.014011,0.011937,1.783711,0.004934,0.085025,0.155091,0.066242,0.125704,9.7e-05,,,,,gru
