episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,grad_norm_rnn,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
1,133,-10.8427,-10.8427,133,0,0,1,0,3.7905,1.694,collision,1.3,-0.559283,0.276547,-0.882911,0.540099,4.062557,1.358715,0.308484,5.969855,0.405903,0.387444,-0.626502,1.000073,,,,,,,,,,,,,,0,gru
2,322,8.4143,-1.2142,189,0,0,1,0,3.6393,1.906,collision,2.7,-0.298457,0.366551,-0.854783,0.741787,3.759139,1.391882,0.29125,5.923246,0.406635,0.38555,-0.551234,1.011084,,,,,,,,,,,,,,0,gru
3,593,30.1699,9.2471,271,0,0,1,0,3.3921,2.003,collision,4.7,-0.15026,0.363153,-0.853075,0.691532,3.762264,1.4729,0.123952,5.900207,0.384968,0.380042,-0.587784,1.0,,,,,,,,,,,,,,0,gru
4,744,-6.0954,5.4115,151,0,0,1,0,3.7574,1.712,collision,6.3,-0.557953,0.247774,-0.883118,0.394143,4.035525,1.315742,0.302518,5.941645,0.414183,0.392833,-0.687852,1.005629,-0.041089,0.014151,1.724704,0.004994,0.063522,0.123538,0.012222,0.041266,3.7e-05,,,,,0,gru
5,1021,35.7471,11.4786,277,0,0,1,0,3.3528,2.005,collision,8.2,-0.206621,0.367642,-0.81136,0.720572,3.814946,1.342285,0.372373,5.906986,0.390332,0.378581,-0.600025,1.0,,,,,,,,,,,,,,0,gru
6,1293,23.3362,13.4549,272,0,0,1,0,3.5428,1.971,collision,10.1,-0.129927,0.398261,-0.792783,0.775889,3.71095,1.453462,0.210399,5.913721,0.393381,0.39142,-0.616801,1.006328,,,,,,,,,,,,,,0,gru
7,1820,54.056,19.255,527,0,0,1,0,2.7525,2.021,collision,14.0,0.026492,0.427355,-0.846474,0.859119,4.055404,1.334631,0.314753,5.96013,0.360176,0.382198,-0.999133,1.0,,,,,,,,,,,,,,0,gru
8,1967,-5.6519,16.1417,147,0,0,1,0,3.6299,1.809,collision,15.3,-0.463473,0.302407,-0.879018,0.406509,4.137187,1.422494,0.453547,5.909013,0.415538,0.388648,-0.617021,1.0,-0.034958,0.012226,1.725009,0.004982,0.07354,0.122682,0.017208,0.08832,4.9e-05,,,,,0,gru
9,2236,17.0968,16.2478,269,0,0,1,0,3.519,2.069,collision,17.1,0.001756,0.387476,-0.805419,0.871931,4.120163,1.347395,0.327569,5.911306,0.391182,0.395398,-0.645721,1.017532,,,,,,,,,,,,,,0,gru
10,2499,6.6768,15.2907,263,0,0,1,0,3.5633,2.05,collision,19.1,0.073186,0.388994,-0.749688,0.837454,3.842683,1.332857,0.433413,5.985724,0.380157,0.400297,-0.736658,1.009304,,,,,,,,,,,,,,0,gru
11,2657,0.9785,16.4728,158,0,0,1,0,3.6238,1.914,collision,20.3,-0.323026,0.363651,-0.862343,0.68368,3.970301,1.420074,0.415856,5.887554,0.404566,0.383267,-0.343434,1.0,,,,,,,,,,,,,,0,gru
12,2802,-6.2985,15.0015,145,0,0,1,0,3.668,1.783,collision,21.7,-0.458132,0.340194,-0.874247,0.652441,4.243742,1.320626,0.866496,5.93711,0.415865,0.391082,-0.647139,1.0,-0.053282,0.015621,1.725171,0.00497,0.064511,0.221835,0.016268,0.14948,6.1e-05,,,,,0,gru
13,3054,1.0998,12.0945,252,0,0,1,0,3.5291,1.959,collision,23.4,-0.008885,0.451055,-0.869491,0.858365,3.92353,1.430898,0.345601,5.919689,0.357004,0.393605,-0.752041,1.0,,,,,,,,,,,,,,0,gru
14,3497,-10.1915,11.6849,443,0,0,1,0,3.61,1.881,collision,26.5,-0.040057,0.500774,-0.875013,0.876092,4.03721,1.4283,0.458181,5.948691,0.390879,0.423861,-0.999995,1.000822,,,,,,,,,,,,,,0,gru
15,3666,3.9791,8.5081,169,0,0,1,0,3.6166,1.91,collision,27.8,-0.35326,0.335749,-0.856886,0.582775,4.105509,1.312603,0.070998,5.930694,0.405437,0.385974,-0.42817,1.0,,,,,,,,,,,,,,0,gru
16,3799,-11.7857,4.9959,133,0,0,1,0,3.8095,1.635,collision,29.1,-0.619379,0.232234,-0.889404,0.173596,4.405438,1.152649,0.203599,5.910554,0.404001,0.387983,-0.644074,1.008941,-0.026142,0.01346,1.725134,0.004958,0.06514,0.091822,0.006079,0.046137,7.3e-05,,,,,0,gru
17,3939,-5.1997,-0.9296,140,0,0,1,0,3.664,1.865,collision,30.1,-0.40733,0.349749,-0.885692,0.453854,4.148071,1.346392,0.818557,5.972772,0.413427,0.384067,-0.41263,1.0,,,,,,,,,,,,,,0,gru
18,4098,-1.7291,-0.5374,159,0,0,1,0,3.6364,2.005,collision,31.2,-0.235002,0.350722,-0.844551,0.571056,3.779856,1.378511,0.46752,5.925425,0.391023,0.374151,-0.47394,1.0,,,,,,,,,,,,,,0,gru
19,4367,27.8372,0.5367,269,0,0,1,0,3.4664,2.022,collision,33.1,-0.148003,0.389076,-0.830871,0.78633,3.976159,1.376273,0.627075,5.971022,0.390592,0.385628,-0.592128,1.009556,,,,,,,,,,,,,,0,gru
20,4549,4.6937,0.3384,182,0,0,1,0,3.6407,2.031,collision,34.5,-0.19427,0.371069,-0.883971,0.714547,3.787046,1.36428,0.518821,5.892649,0.39534,0.381595,-0.501688,1.00709,-0.074355,0.019422,1.725252,0.004946,0.086956,0.159056,0.014984,0.09356,8.5e-05,,,,,0,gru
21,4706,-0.8606,0.1545,157,0,0,1,0,3.6554,2.003,collision,35.6,-0.247676,0.327019,-0.874703,0.723216,3.812983,1.412309,0.162257,5.882176,0.395527,0.375288,-0.463723,1.0,,,,,,,,,,,,,,0,gru
22,4964,4.8685,1.2712,258,0,0,1,0,3.4718,2.097,collision,37.4,0.107671,0.368695,-0.759358,0.816833,4.000043,1.279545,0.778774,5.983711,0.361756,0.39052,-0.707409,1.0,,,,,,,,,,,,,,0,gru
23,5114,-3.2273,0.8384,150,0,0,1,0,3.6542,1.852,collision,38.4,-0.390692,0.36486,-0.862627,0.642009,4.262159,1.373779,0.251249,5.933983,0.412636,0.386768,-0.551623,1.0,,,,,,,,,,,,,,0,gru
24,5292,6.2284,2.4804,178,0,0,1,0,3.6434,1.946,collision,39.9,-0.266628,0.374292,-0.853268,0.659119,4.000773,1.340651,0.46173,5.936186,0.39481,0.376747,-0.437239,1.010296,-0.06824,0.022184,1.725445,0.004934,0.073077,0.160432,0.011945,0.078782,9.7e-05,,,,,0,gru
25,5560,30.463,5.1288,268,0,0,1,0,3.4773,1.993,collision,41.7,-0.229987,0.378678,-0.82085,0.853033,3.965055,1.377432,0.460063,5.920352,0.393418,0.383138,-0.601437,1.0066,,,,,,,,,,,,,,0,gru
26,5816,6.5925,6.9666,256,0,0,1,0,3.4672,2.059,collision,43.4,0.033578,0.406284,-0.833398,0.857319,4.085482,1.281521,0.700137,5.956477,0.357025,0.385818,-0.705804,1.0,,,,,,,,,,,,,,0,gru
27,6093,37.3168,11.2183,277,0,0,1,0,3.3773,1.932,collision,45.3,-0.254155,0.378646,-0.852016,0.850706,3.86208,1.457908,0.383465,5.949465,0.398899,0.383877,-0.531964,1.0,,,,,,,,,,,,,,0,gru
28,6267,6.1046,12.0017,174,0,0,1,0,3.6055,1.981,collision,46.8,-0.264578,0.362068,-0.844864,0.599872,4.09693,1.360638,0.218511,5.920625,0.397301,0.378668,-0.393154,1.001331,-0.024839,0.014395,1.725367,0.004922,0.073945,0.101322,0.015421,0.051659,0.0001,,,,,0,gru
29,6793,52.0956,14.4275,526,0,0,1,0,2.7559,1.996,collision,50.6,0.042492,0.424837,-0.858645,0.858724,3.953549,1.419903,0.214905,5.970996,0.354719,0.381092,-0.997665,1.0,,,,,,,,,,,,,,0,gru
30,6978,8.9529,14.8534,185,0,0,1,0,3.5987,2.024,collision,51.9,-0.229073,0.374288,-0.85111,0.646166,4.080429,1.282277,0.508169,5.967839,0.39226,0.375902,-0.439332,1.006251,,,,,,,,,,,,,,0,gru
31,7126,-2.4519,14.6943,148,0,0,1,0,3.6635,1.877,collision,53.0,-0.350701,0.360365,-0.863995,0.607958,3.858233,1.40575,0.401653,5.926082,0.414726,0.386329,-0.355275,1.0,,,,,,,,,,,,,,0,gru
32,7264,-9.5475,13.2527,138,0,0,1,0,3.6672,1.74,collision,54.3,-0.535368,0.300536,-0.888186,0.376439,4.21036,1.293725,0.628555,5.962138,0.414962,0.390704,-0.66029,1.0,-0.030314,0.016169,1.725298,0.00491,0.077711,0.077086,0.009156,0.043628,0.0001,,,,,0,gru
33,7798,76.2556,21.201,534,0,0,1,0,2.7548,2.043,collision,58.2,-0.025702,0.408956,-0.855033,0.823258,4.080472,1.337625,0.190562,5.94288,0.383499,0.389603,-0.967679,1.0,,,,,,,,,,,,,,0,gru
34,8062,9.2252,21.5007,264,0,0,1,0,3.4289,2.055,collision,60.2,0.056931,0.400186,-0.831613,0.831118,3.974113,1.348535,0.174033,5.971515,0.368476,0.390688,-0.698474,1.0,,,,,,,,,,,,,,0,gru
35,8331,19.301,20.3845,269,0,0,1,0,3.4217,2.065,collision,62.1,-0.018502,0.38512,-0.84836,0.787707,4.059934,1.373254,0.458367,5.927688,0.377104,0.38259,-0.645671,1.0,,,,,,,,,,,,,,0,gru
36,8609,36.5732,23.3825,278,0,0,1,0,3.3718,1.941,collision,64.3,-0.32803,0.356038,-0.876738,0.723724,4.009874,1.364559,0.220261,5.894611,0.407022,0.38717,-0.540647,1.0,-0.012129,0.011835,1.725308,0.004898,0.064943,0.077675,0.020771,0.055708,0.0001,,,,,0,gru
37,8873,23.0085,21.9517,264,0,0,1,0,3.4745,2.032,collision,66.1,-0.057446,0.399783,-0.783128,0.767455,3.999993,1.427253,0.166024,5.96396,0.387887,0.388408,-0.647142,1.007437,,,,,,,,,,,,,,0,gru
38,9138,22.5034,23.5916,265,0,0,1,0,3.4768,2.069,collision,67.9,-0.058624,0.39886,-0.813918,0.798952,4.120135,1.255628,0.507627,5.942477,0.388919,0.388692,-0.625381,1.00907,,,,,,,,,,,,,,0,gru
39,9298,-0.4179,18.3402,160,0,0,1,0,3.5829,1.813,collision,69.0,-0.440335,0.328323,-0.880085,0.549338,4.120221,1.327139,0.665085,5.931517,0.406697,0.383572,-0.569551,1.0,,,,,,,,,,,,,,0,gru
40,9424,-13.5133,16.0936,126,0,0,1,0,3.8572,1.648,collision,70.1,-0.562418,0.272494,-0.882325,0.250367,4.005671,1.482295,0.554437,5.854864,0.408326,0.393923,-0.633699,1.020948,-0.054689,0.0147,1.725311,0.004886,0.068064,0.177935,0.033042,0.090742,0.0001,,,,,0,gru
41,9692,28.6574,19.2045,268,0,0,1,0,3.4254,2.079,collision,72.0,-0.141696,0.38068,-0.853444,0.785252,4.183211,1.255147,0.152588,5.957758,0.386541,0.380443,-0.603031,1.0063,,,,,,,,,,,,,,0,gru
42,9842,-3.3392,19.8254,150,0,0,1,0,3.6609,1.87,collision,73.0,-0.400584,0.35703,-0.877695,0.769375,4.207391,1.366064,0.879346,5.907508,0.41331,0.387079,-0.568953,1.0,,,,,,,,,,,,,,0,gru
43,10105,11.4444,13.3443,263,0,0,1,0,3.5053,2.051,collision,74.8,0.12321,0.391475,-0.727092,0.819341,4.194989,1.335619,0.608717,5.969945,0.382012,0.396927,-0.734431,1.006988,,,,,,,,,,,,,,0,gru
44,10380,31.4361,15.5654,275,0,0,1,0,3.3859,2.035,collision,76.9,-0.138961,0.403069,-0.831779,0.814174,4.119011,1.34322,0.697494,5.95188,0.393604,0.384532,-0.558316,1.0,-0.055145,0.015686,1.725354,0.004874,0.068856,0.133184,0.010706,0.090384,0.0001,,,,,0,gru
45,10554,5.1134,14.1466,174,0,0,1,0,3.6457,1.885,collision,78.1,-0.293129,0.400665,-0.882379,0.559431,4.041576,1.413,0.184588,5.865061,0.399726,0.38063,-0.41673,1.002479,,,,,,,,,,,,,,0,gru
46,11084,73.3794,17.8272,530,0,0,1,0,2.6901,2.044,collision,81.6,-0.027196,0.4241,-0.864385,0.858785,4.141365,1.307338,0.418275,5.944859,0.370444,0.384954,-0.990363,1.0,,,,,,,,,,,,,,0,gru
47,11221,-8.7672,14.6496,137,0,0,1,0,3.8042,1.72,collision,82.6,-0.545418,0.291915,-0.870724,0.512904,4.247908,1.23605,0.507063,5.936769,0.418442,0.39361,-0.570153,1.009821,,,,,,,,,,,,,,0,gru
48,11362,-5.5076,11.8485,141,0,0,1,0,3.7715,1.843,collision,83.8,-0.433878,0.339634,-0.874697,0.407755,4.00711,1.362389,0.480353,5.823628,0.422916,0.393898,-0.441447,1.018373,-0.022273,0.014726,1.725526,0.004862,0.077149,0.12588,0.011646,0.066154,0.0001,,,,,0,gru
49,11532,-1.1611,11.7742,170,0,0,1,0,3.6493,1.688,collision,84.9,-0.552908,0.305976,-0.890378,0.606001,4.439728,1.324354,0.514377,5.970307,0.401845,0.391029,-0.704362,1.0,,,,,,,,,,,,,,0,gru
50,11800,26.2498,15.7505,268,0,0,1,0,3.4552,2.077,collision,86.7,-0.081631,0.400345,-0.858704,0.873691,4.225713,1.298078,0.607315,5.974267,0.392817,0.389035,-0.606844,1.01,,,,,,,,,,,,,,0,gru
51,11976,1.0591,12.9907,176,0,0,1,0,3.639,2.061,collision,88.0,-0.134989,0.383577,-0.870186,0.810157,4.297142,1.24274,0.184142,5.863686,0.390846,0.380539,-0.493992,1.003096,,,,,,,,,,,,,,0,gru
52,12240,12.873,14.6119,264,0,0,1,0,3.5012,2.078,collision,90.3,0.095363,0.375932,-0.758696,0.791116,4.12035,1.329912,0.597592,5.969087,0.38237,0.395052,-0.731604,1.007962,-0.054649,0.013546,1.7258,0.00485,0.063336,0.172711,0.00751,0.093928,0.0001,,,,,0,gru
53,12790,67.8976,20.2572,550,0,0,1,0,2.8281,1.98,collision,94.4,0.035733,0.467696,-0.862141,0.858551,4.276011,1.236998,0.544491,5.919847,0.372085,0.386079,-0.953281,1.0,,,,,,,,,,,,,,0,gru
54,12947,-1.4245,16.9712,157,0,0,1,0,3.6568,1.794,collision,95.6,-0.467393,0.341289,-0.883266,0.562715,4.216092,1.342316,0.227851,5.915155,0.413762,0.387878,-0.522812,1.0,,,,,,,,,,,,,,0,gru
