model,seed,timestamp,final_success_rate,final_mean_reward,final_mean_min_dist,overall_success_rate
Feedforward PPO,00,20260603_110455,0.0000,11.5657,3.4970,0.1380
Feedforward PPO,01,20260603_110455,0.0000,28.0947,3.2351,0.1840
Feedforward PPO,02,20260603_110455,0.0000,23.3349,3.3717,0.0000
Feedforward PPO,03,20260603_110455,0.0000,3.3483,3.5482,0.1556
Feedforward PPO,04,20260603_110455,0.0000,-12.4673,3.4360,0.0012
Feedforward PPO,05,20260603_110455,0.0000,17.1085,3.4355,0.0008
GRU-PPO,00,20260603_162611,0.0000,16.7326,3.4572,0.1752
GRU-PPO,01,20260603_162611,0.0000,17.4083,3.4760,0.1924
GRU-PPO,02,20260603_162611,0.0000,6.2639,3.4655,0.0116
GRU-PPO,03,20260603_162611,0.0000,46.7045,3.1772,0.1640
GRU-PPO,04,20260603_162611,0.0000,15.1687,3.3124,0.1716
GRU-PPO,05,20260603_162611,0.0000,12.2953,3.5370,0.0012
LSTM-PPO,00,20260602_230908,0.0000,21.2063,3.4103,0.0000
LSTM-PPO,01,20260602_230908,0.0000,21.9647,3.3802,0.1600
LSTM-PPO,02,20260602_230908,0.0000,18.8318,3.4190,0.0000
LSTM-PPO,03,20260602_230908,0.0000,26.6178,3.3120,0.0000
LSTM-PPO,04,20260602_230908,0.0000,-121.7854,3.6337,0.1244
LSTM-PPO,05,20260602_230908,0.0000,-162.7401,3.4818,0.0648
